external_compound_id,preferred_name,compound_family,strict_inclusion_class,direct_fks_inhibitory_evidence_rows,all_candidate_activity_rows_for_included_compound,mechanism_scope,fks1_specificity,smiles_canonical,inchikey,source_ids,manual_decision,manual_note,review_priority
EXT-FKS-0069,CHEMBL1793852,mixed_fks,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,1,2,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,CCC(C)CC(C)CCCCCCCCC(=O)N[C@@H]1C[C@@H](O)[C@@H](NCCN)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](O)CCN)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,XQTOEGVAOWZIFC-OAOGYFCRSA-N,ChEMBL:CHEMBL1793852,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0197,CHEMBL217306,mixed_fks,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,1,2,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,CCC(C)CC(C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CCN(CC#N)CC#N)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,ZPAHMPZEUHFWRJ-ZELNKJOMSA-N,ChEMBL:CHEMBL217306,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0198,CHEMBL218395,mixed_fks,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,1,2,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,CCC(C)CC(C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CC#N)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,HJXMFKZXDFULAW-QVCGFCSKSA-N,ChEMBL:CHEMBL218395,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0070,CHEMBL2371681,mixed_fks,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,1,2,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,CCCCCCCCCCCCC[C@@H]1CC(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@H](C)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](C(C)C)C(=O)N2C[C@H](O)C[C@H]2C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N2CC[C@H](O)[C@H]2C(=O)N[C@@H]([C@H](O)CC(N)=O)C(=O)NCC(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCCN(CCN)C(=O)[C@H](CCCN)N(CCN)CCN)C(=O)O1,HAIITWNVASIXME-UIEXKLOXSA-N,ChEMBL:CHEMBL2371681,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0071,CHEMBL2371765,mixed_fks,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,1,2,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,CCCCCCCCCCCCC[C@@H]1CC(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@H](C)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](C(C)C)C(=O)N2C[C@H](O)C[C@H]2C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N2CC[C@H](O)[C@H]2C(=O)N[C@@H]([C@H](O)CC(N)=O)C(=O)NCC(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCCNC(=O)[C@@H](CCCN)N(CCN)CCN)C(=O)O1,DYPMRZHFCFUAIU-XGOFCWKXSA-N,ChEMBL:CHEMBL2371765,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0072,CHEMBL261821,pneumocandin,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,1,2,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,CCC(C)CC(C)CCCCCCCCC(=O)N[C@@H]1C[C@@H](O)CNC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@@H](O)CC(N)=O)NC(=O)[C@H]([C@@H](O)Cc2ccc(O)c([N+](=O)[O-])c2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,IEHNGEHNFVQWFQ-IWUFRPNTSA-N,ChEMBL:CHEMBL261821,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0073,CHEMBL262998,pneumocandin,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,1,2,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,CCC(C)CC(C)CCCCCCCCC(=O)N[C@@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@@H](O)CC(N)=O)NC(=O)[C@H]([C@@H](O)[C@H](O)c2ccc(O)c([N+](=O)[O-])c2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,DZJHKYNEIKEAII-WTANLFMKSA-N,ChEMBL:CHEMBL262998,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0199,CHEMBL263950,mixed_fks,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,1,2,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,CCC(C)CC(C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CCNC(C)=O)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,DUBYNQYWQZFNBK-CJNXKFHQSA-N,ChEMBL:CHEMBL263950,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0074,CHEMBL263952,pneumocandin,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,1,2,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,CCC(C)CC(C)CCCCCCCCC(=O)N[C@@H]1C[C@@H](O)CNC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@@H](O)CC(N)=O)NC(=O)[C@H]([C@@H](O)Cc2ccc(O)c(CC/C=C/C(=O)OC)c2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,VELZWMAUTIGNJS-MTCXQNRHSA-N,ChEMBL:CHEMBL263952,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0075,CHEMBL264601,pneumocandin,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,1,2,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,CCCc1cc(C[C@H](O)[C@@H]2NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](NC(=O)CCCCCCCCC(C)CC(C)CC)C[C@@H](O)CNC(=O)[C@@H]3[C@@H](O)CCN3C(=O)[C@H]([C@@H](O)CC(N)=O)NC2=O)ccc1O,NLRQIQBJUOCKLY-BQCXFGOMSA-N,ChEMBL:CHEMBL264601,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0200,CHEMBL266683,mixed_fks,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,1,2,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,CCC(C)CC(C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CC[N+](C)(C)C)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,LGXOUNLLBRLIJQ-DIWKURNISA-O,ChEMBL:CHEMBL266683,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0076,CHEMBL267407,mixed_fks,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,1,2,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,CCCCCCCCCCCCC[C@@H]1CC(=O)N[C@H]([C@@H](C)O)C(=O)N[C@H](C)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](C(C)C)C(=O)N2C[C@H](O)C[C@H]2C(=O)N[C@H]([C@@H](C)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N2CC[C@H](O)[C@H]2C(=O)N[C@@H]([C@H](O)CC(N)=O)C(=O)NCC(=O)N[C@H]([C@@H](C)O)C(=O)N[C@@H](CCCN(CCCN)C(=O)[C@@H](CCCN)N(CCN)CCN)C(=O)O1,WRLKNYWWAPRBTD-NCDHZQLMSA-N,ChEMBL:CHEMBL267407,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0077,CHEMBL268666,pneumocandin,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,1,2,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,CCC(C)CC(C)CCCCCCCCC(=O)N[C@@H]1C[C@@H](O)CNC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@@H](O)CC(N)=O)NC(=O)[C@H]([C@@H](O)Cc2ccc(O)c(C(=O)OC)c2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,QTQNAGKDLXUWBT-BRJZXISYSA-N,ChEMBL:CHEMBL268666,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0078,CHEMBL268721,pneumocandin,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,1,2,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,CCC(C)CC(C)CCCCCCCCC(=O)N[C@@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@@H](O)CC(N)=O)NC(=O)[C@H]([C@@H](O)[C@H](O)c2ccc(O)c(N)c2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,SHBCEJNLBCGEPX-CASJGOPRSA-N,ChEMBL:CHEMBL268721,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0079,CHEMBL384968,pneumocandin,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,1,2,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,CCC(C)CC(C)CCCCCCCCC(=O)N[C@@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@@H](O)CC(N)=O)NC(=O)[C@H]([C@@H](O)[C@H](O)c2ccc(O)c(I)c2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,MJHHWVSCOREXCK-CASJGOPRSA-N,ChEMBL:CHEMBL384968,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0080,CHEMBL385431,pneumocandin,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,1,2,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,CCC(C)CC(C)CCCCCCCCC(=O)N[C@@H]1C[C@@H](O)CNC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@@H](O)CC(N)=O)NC(=O)[C@H]([C@@H](O)Cc2ccc(O)c(C=O)c2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,JPVDXPWMPZWHDO-BQVKPKMMSA-N,ChEMBL:CHEMBL385431,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0081,CHEMBL385665,pneumocandin,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,1,2,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,C=CCc1cc(C[C@H](O)[C@@H]2NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](NC(=O)CCCCCCCCC(C)CC(C)CC)C[C@@H](O)CNC(=O)[C@@H]3[C@@H](O)CCN3C(=O)[C@H]([C@@H](O)CC(N)=O)NC2=O)ccc1O,BKIZYAMEYWKGHJ-BQCXFGOMSA-N,ChEMBL:CHEMBL385665,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0201,CHEMBL385931,mixed_fks,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,1,2,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,CCC(C)CC(C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CCN=C(N)N)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,HPQZZQAVFGHPJM-QVCGFCSKSA-N,ChEMBL:CHEMBL385931,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0082,CHEMBL386826,pneumocandin,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,1,2,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,CCC(C)CC(C)CCCCCCCCC(=O)N[C@@H]1C[C@@H](O)CNC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@@H](O)CC(N)=O)NC(=O)[C@H]([C@@H](O)Cc2ccc(O)c(N=[N+]=[N-])c2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,DISWHMWIYQNITF-HYTINFHMSA-N,ChEMBL:CHEMBL386826,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0202,CHEMBL386918,mixed_fks,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,1,2,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,CCC(C)CC(C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)CNC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CC(=O)NO)NC(=O)[C@H]([C@H](O)Cc2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,LSILKADMPNNWJW-IQTRWBIESA-N,ChEMBL:CHEMBL386918,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0083,CHEMBL406357,pneumocandin,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,1,2,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,CCC(C)CC(C)CCCCCCCCC(=O)N[C@@H]1C[C@@H](O)CNC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@@H](O)CC(N)=O)NC(=O)[C@H]([C@@H](O)Cc2ccc3c(c2)CC(O)O3)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,DULUVSWVIXJZRU-HJQSVNFOSA-N,ChEMBL:CHEMBL406357,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0084,CHEMBL406668,pneumocandin,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,1,2,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,CCC(C)CC(C)CCCCCCCCC(=O)N[C@@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@@H](O)CC(N)=O)NC(=O)[C@H]([C@@H](O)[C@H](O)c2ccc(O)c(NC(=O)CS)c2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,KIPPSYADPWYJBT-JUAGRKTBSA-N,ChEMBL:CHEMBL406668,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0085,CHEMBL407083,pneumocandin,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,1,2,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,CCC(C)CC(C)CCCCCCCCC(=O)N[C@@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@@H](O)CC(N)=O)NC(=O)[C@H]([C@@H](O)[C@H](O)c2cc(I)c(O)c(I)c2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,GCXHJUVLEQZXCU-YMBFVZQJSA-N,ChEMBL:CHEMBL407083,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0203,CHEMBL407122,mixed_fks,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,1,2,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,CCC(C)CC(C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)CNC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CC(=N)S)NC(=O)[C@H]([C@H](O)Cc2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,XQVXYDFPILHABE-IQTRWBIESA-N,ChEMBL:CHEMBL407122,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0086,CHEMBL408285,pneumocandin,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,1,2,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,CCC(C)CC(C)CCCCCCCCC(=O)N[C@@H]1C[C@@H](O)CNC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@@H](O)CC(N)=O)NC(=O)[C@H]([C@@H](O)Cc2ccc(O)c(O)c2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,ZIUUKZWWRPCDLZ-FAEXWCCJSA-N,ChEMBL:CHEMBL408285,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0087,CHEMBL408469,pneumocandin,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,1,2,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,CCC(C)CC(C)CCCCCCCCC(=O)N[C@@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@@H](O)CC(N)=O)NC(=O)[C@H]([C@@H](O)[C@H](O)c2ccc(O)c(N=[N+]=[N-])c2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,XSLNADGNECLEOY-CASJGOPRSA-N,ChEMBL:CHEMBL408469,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0204,CHEMBL408771,mixed_fks,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,1,2,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,CCC(C)CC(C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)CNC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CC(=O)NN)NC(=O)[C@H]([C@H](O)Cc2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,WRUGHHHINOSJEE-IQTRWBIESA-N,ChEMBL:CHEMBL408771,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0205,CHEMBL408820,mixed_fks,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,1,2,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,CCC(C)CC(C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CCNC)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,UUNNUVVNLDXCSN-SMJYJBDCSA-N,ChEMBL:CHEMBL408820,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0088,CHEMBL410837,pneumocandin,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,1,2,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,C=Cc1cc(C[C@H](O)[C@@H]2NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](NC(=O)CCCCCCCCC(C)CC(C)CC)C[C@@H](O)CNC(=O)[C@@H]3[C@@H](O)CCN3C(=O)[C@H]([C@@H](O)CC(N)=O)NC2=O)ccc1O,DEPDABZUMGIRQV-ZWCVPZMSSA-N,ChEMBL:CHEMBL410837,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0206,CHEMBL412347,mixed_fks,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,1,2,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,CCC(C)CC(C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)CNC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CC#N)NC(=O)[C@H]([C@H](O)Cc2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,PSKWLTSAHQXLES-KESYHRTFSA-N,ChEMBL:CHEMBL412347,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0089,CHEMBL412499,pneumocandin,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,1,2,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,CCc1cc(C[C@H](O)[C@@H]2NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](NC(=O)CCCCCCCCC(C)CC(C)CC)C[C@@H](O)CNC(=O)[C@@H]3[C@@H](O)CCN3C(=O)[C@H]([C@@H](O)CC(N)=O)NC2=O)ccc1O,UXTGMPVOSUHGCT-ZWCVPZMSSA-N,ChEMBL:CHEMBL412499,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0207,CHEMBL412847,mixed_fks,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,1,2,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,CCC(C)CC(C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)CNC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CC(=O)NCCCCCC(=O)OC)NC(=O)[C@H]([C@H](O)Cc2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,IATDXVTUWMVOAY-BFMPHEQCSA-N,ChEMBL:CHEMBL412847,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0208,CHEMBL413520,mixed_fks,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,1,2,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,CCC(C)CC(C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)CNC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CCO)NC(=O)[C@H]([C@H](O)Cc2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,IKKISLKTMBORQZ-KESYHRTFSA-N,ChEMBL:CHEMBL413520,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0090,CHEMBL413522,pneumocandin,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,1,2,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,CCC(C)CC(C)CCCCCCCCC(=O)N[C@@H]1C[C@@H](O)CNC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@@H](O)CC(N)=O)NC(=O)[C@H]([C@@H](O)Cc2ccc(O)c(N)c2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,ZHZNTPWGKLIXJS-HYTINFHMSA-N,ChEMBL:CHEMBL413522,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0209,CHEMBL413949,mixed_fks,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,1,2,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,CCC(C)CC(C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)CNC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CC(=O)OC)NC(=O)[C@H]([C@H](O)Cc2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,FAXUBJIASJDLDO-COYNLKTFSA-N,ChEMBL:CHEMBL413949,,,P1_verify_direct_inhibition_evidence
EXT-FKS-0091,CHEMBL415669,pneumocandin,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,1,2,FKS_or_beta_1_3_glucan_synthase_inhibitor,explicit_FKS1_if_source_says_FKS1_else_glucan_synthase_general,CCC(C)CC(C)CCCCCCCCC(=O)N[C@@H]1C[C@@H](O)CNC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@@H](O)CC(N)=O)NC(=O)[C@H]([C@@H](O)Cc2ccc(O)c(I)c2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,CYTCSJFRKOSRSJ-HYTINFHMSA-N,ChEMBL:CHEMBL415669,,,P1_verify_direct_inhibition_evidence
