external_activity_id,external_compound_id,preferred_name,endpoint_type,endpoint_value,endpoint_relation,unit,converted_value_uM,p_activity,organism,strain,target_name,target_gene,target_organism,assay_type,assay_method,assay_context,serum_or_protein,medium,duration_h,temperature_c,endpoint_definition,target_confidence,mechanism_confidence,activity_relevance_tier,source_id,source_database,source_reference,source_quote,curation_status,comments
EXT-ACT-000030,EXT-FKS-0117,CHEMBL1254833,IC50,66000.0,>,nM,66.0,4.180456,,,"Beta-1,3-glucan synthase",,Candida albicans,biochemical,"Inhibition of Candida albicans 1,3 beta-D-glucan synthase",enzyme_assay,unknown,,,,,direct,direct_assay,direct_fks,EXTSRC-000030,ChEMBL,CHEMBL1250535;Bioorg Med Chem 2010;CHEMBL1251396,"Inhibition of Candida albicans 1,3 beta-D-glucan synthase",imported_candidate_needs_review,Rebuilt from cached ChEMBL file activity_by_assay_CHEMBL1251396_offset_0.json.
EXT-ACT-000031,EXT-FKS-0118,CHEMBL1254834,IC50,64000.0,>,nM,64.0,4.19382,,,"Beta-1,3-glucan synthase",,Candida albicans,biochemical,"Inhibition of Candida albicans 1,3 beta-D-glucan synthase",enzyme_assay,unknown,,,,,direct,direct_assay,direct_fks,EXTSRC-000030,ChEMBL,CHEMBL1250535;Bioorg Med Chem 2010;CHEMBL1251396,"Inhibition of Candida albicans 1,3 beta-D-glucan synthase",imported_candidate_needs_review,Rebuilt from cached ChEMBL file activity_by_assay_CHEMBL1251396_offset_0.json.
EXT-ACT-000032,EXT-FKS-0110,CHEMBL1253514,IC50,52000.0,=,nM,52.0,4.283997,,,"Beta-1,3-glucan synthase",,Candida albicans,biochemical,"Inhibition of Candida albicans 1,3 beta-D-glucan synthase",enzyme_assay,unknown,,,,,direct,direct_assay,direct_fks,EXTSRC-000030,ChEMBL,CHEMBL1250535;Bioorg Med Chem 2010;CHEMBL1251396,"Inhibition of Candida albicans 1,3 beta-D-glucan synthase",imported_candidate_needs_review,Rebuilt from cached ChEMBL file activity_by_assay_CHEMBL1251396_offset_0.json.
EXT-ACT-000033,EXT-FKS-0119,CHEMBL1254920,IC50,37000.0,=,nM,37.0,4.431798,,,"Beta-1,3-glucan synthase",,Candida albicans,biochemical,"Inhibition of Candida albicans 1,3 beta-D-glucan synthase",enzyme_assay,unknown,,,,,direct,direct_assay,direct_fks,EXTSRC-000030,ChEMBL,CHEMBL1250535;Bioorg Med Chem 2010;CHEMBL1251396,"Inhibition of Candida albicans 1,3 beta-D-glucan synthase",imported_candidate_needs_review,Rebuilt from cached ChEMBL file activity_by_assay_CHEMBL1251396_offset_0.json.
EXT-ACT-000034,EXT-FKS-0120,CHEMBL1255007,IC50,58000.0,=,nM,58.0,4.236572,,,"Beta-1,3-glucan synthase",,Candida albicans,biochemical,"Inhibition of Candida albicans 1,3 beta-D-glucan synthase",enzyme_assay,unknown,,,,,direct,direct_assay,direct_fks,EXTSRC-000030,ChEMBL,CHEMBL1250535;Bioorg Med Chem 2010;CHEMBL1251396,"Inhibition of Candida albicans 1,3 beta-D-glucan synthase",imported_candidate_needs_review,Rebuilt from cached ChEMBL file activity_by_assay_CHEMBL1251396_offset_0.json.
EXT-ACT-000035,EXT-FKS-0159,CHLOROGENIC ACID,IC50,90000.0,>,nM,90.0,4.045757,,,"Beta-1,3-glucan synthase",,Candida albicans,biochemical,"Inhibition of Candida albicans 1,3 beta-D-glucan synthase",enzyme_assay,unknown,,,,,direct,direct_assay,direct_fks,EXTSRC-000030,ChEMBL,CHEMBL1250535;Bioorg Med Chem 2010;CHEMBL1251396,"Inhibition of Candida albicans 1,3 beta-D-glucan synthase",imported_candidate_needs_review,Rebuilt from cached ChEMBL file activity_by_assay_CHEMBL1251396_offset_0.json.
EXT-ACT-000036,EXT-FKS-0017,ACULEACIN A,IC50,8000.0,=,nM,8.0,5.09691,,,"Beta-1,3-glucan synthase",,Candida albicans,biochemical,"Inhibition of Candida albicans 1,3 beta-D-glucan synthase",enzyme_assay,unknown,,,,,direct,direct_assay,direct_fks,EXTSRC-000030,ChEMBL,CHEMBL1250535;Bioorg Med Chem 2010;CHEMBL1251396,"Inhibition of Candida albicans 1,3 beta-D-glucan synthase",imported_candidate_needs_review,Rebuilt from cached ChEMBL file activity_by_assay_CHEMBL1251396_offset_0.json.
EXT-ACT-000065,EXT-FKS-0001,CASPOFUNGIN,IC50,0.00233,=,ug.mL-1,0.0021311,8.671395,,,Unchecked,,,biochemical,Inhibition of Candida tropicalis ATCC 750 wild type FKS,enzyme_assay,unknown,,,,,direct,direct_assay,direct_fks,EXTSRC-000041,ChEMBL,CHEMBL1255422;Antimicrob Agents Chemother 2010;CHEMBL1264563,Inhibition of Candida tropicalis ATCC 750 wild type FKS,imported_candidate_needs_review,Rebuilt from cached ChEMBL file activity_by_assay_CHEMBL1264563_offset_0.json.
EXT-ACT-000066,EXT-FKS-0003,MICAFUNGIN,IC50,0.007545,=,ug.mL-1,0.00593959,8.226244,,,Unchecked,,,biochemical,Inhibition of Candida tropicalis ATCC 750 wild type FKS,enzyme_assay,unknown,,,,,direct,direct_assay,direct_fks,EXTSRC-000041,ChEMBL,CHEMBL1255422;Antimicrob Agents Chemother 2010;CHEMBL1264563,Inhibition of Candida tropicalis ATCC 750 wild type FKS,imported_candidate_needs_review,Rebuilt from cached ChEMBL file activity_by_assay_CHEMBL1264563_offset_0.json.
EXT-ACT-000067,EXT-FKS-0002,ANIDULAFUNGIN,IC50,0.00233,=,ug.mL-1,0.00204341,8.689644,,,Unchecked,,,biochemical,Inhibition of Candida tropicalis ATCC 750 wild type FKS,enzyme_assay,unknown,,,,,direct,direct_assay,direct_fks,EXTSRC-000041,ChEMBL,CHEMBL1255422;Antimicrob Agents Chemother 2010;CHEMBL1264563,Inhibition of Candida tropicalis ATCC 750 wild type FKS,imported_candidate_needs_review,Rebuilt from cached ChEMBL file activity_by_assay_CHEMBL1264563_offset_0.json.
