source_compound_id,preferred_name,smiles_canonical,inchikey,chembl_molecule_type,chembl_max_phase,chembl_black_box_warning,chembl_natural_product,mw_band,chembl_mw_freebase,background_source_note,canonical_smiles_rdkit,inchikey_rdkit,molecular_formula,murcko_scaffold_smiles,ecfp4_on_bits,exact_mw_rdkit,mol_wt_rdkit,clogp_rdkit,mol_mr_rdkit,tpsa_rdkit,hbd_rdkit,hba_rdkit,rotb_rdkit,heavy_atom_count_rdkit,hetero_atom_count_rdkit,ring_count_rdkit,aromatic_ring_count_rdkit,aliphatic_ring_count_rdkit,fsp3_rdkit,formal_charge_rdkit,stereo_centers_total_rdkit,stereo_centers_assigned_rdkit,stereo_centers_unassigned_rdkit
CHEMBL6343,CHEMBL6343,COc1cc2nc(N3CCN(C(=O)/C=C/c4ccc(NC(=O)CBr)cc4)CC3)nc(N)c2cc1OC,WIQUTGGWWJYKFM-VMPITWQZSA-N,Small molecule,,0,0,400-600,555.43,ChEMBL property-stratified molecule without FKS/glucan/antifungal keyword evidence,COc1cc2nc(N3CCN(C(=O)/C=C/c4ccc(NC(=O)CBr)cc4)CC3)nc(N)c2cc1OC,WIQUTGGWWJYKFM-VMPITWQZSA-N,C25H27BrN6O4,O=C(/C=C/c1ccccc1)N1CCN(c2ncc3ccccc3n2)CC1,62,554.127715444,555.4330000000002,2.9246000000000008,143.7470999999999,122.91000000000001,2,8,7,36,11,4,3,1,0.28,0,0,0,0
CHEMBL6366,CHEMBL6366,COc1cc2nc(N3CCN(C(=O)COc4ccccc4)CC3)nc(N)c2cc1OC,NRCCKHYOMABEPC-UHFFFAOYSA-N,Small molecule,,0,0,400-600,423.47,ChEMBL property-stratified molecule without FKS/glucan/antifungal keyword evidence,COc1cc2nc(N3CCN(C(=O)COc4ccccc4)CC3)nc(N)c2cc1OC,NRCCKHYOMABEPC-UHFFFAOYSA-N,C22H25N5O4,O=C(COc1ccccc1)N1CCN(c2ncc3ccccc3n2)CC1,52,423.19065428000005,423.47300000000024,1.9567999999999997,117.78440000000003,103.04,1,8,6,31,9,4,3,1,0.3181818181818182,0,0,0,0
CHEMBL6217,CHEMBL6217,COc1cc(C(=O)N2CCN(C(=O)c3cc(OC)c(OC)c(OC)c3)C(COC(C)=O)C2)cc(OC)c1OC,KRGMLTJKLQEHOZ-UHFFFAOYSA-N,Small molecule,,0,0,400-600,546.57,ChEMBL property-stratified molecule without FKS/glucan/antifungal keyword evidence,COc1cc(C(=O)N2CCN(C(=O)c3cc(OC)c(OC)c(OC)c3)C(COC(C)=O)C2)cc(OC)c1OC,KRGMLTJKLQEHOZ-UHFFFAOYSA-N,C27H34N2O10,O=C(c1ccccc1)N1CCN(C(=O)c2ccccc2)CC1,44,546.2213452879998,546.5730000000003,2.2681000000000004,139.5569999999999,122.30000000000001,0,10,10,39,12,3,2,1,0.4444444444444444,0,1,0,1
CHEMBL6341,CHEMBL6341,CCCC(=O)OCC1CN(C(=O)c2cc(OC)c(OC)c(OC)c2)CCN1C(=O)c1cc(OC)c(OC)c(OC)c1,IWRWPHXCANDKPP-UHFFFAOYSA-N,Small molecule,,0,0,400-600,574.63,ChEMBL property-stratified molecule without FKS/glucan/antifungal keyword evidence,CCCC(=O)OCC1CN(C(=O)c2cc(OC)c(OC)c(OC)c2)CCN1C(=O)c1cc(OC)c(OC)c(OC)c1,IWRWPHXCANDKPP-UHFFFAOYSA-N,C29H38N2O10,O=C(c1ccccc1)N1CCN(C(=O)c2ccccc2)CC1,48,574.252645416,574.6270000000003,3.048300000000002,148.7909999999998,122.30000000000003,0,10,12,41,12,3,2,1,0.4827586206896552,0,1,0,1
CHEMBL263777,CHEMBL263777,Cc1nccn1CCCCc1ccc(CC(=O)N[C@H](CO)Cc2ccc(OCCC3CCCCC3)c(CCCN)c2)cc1,YNCAROCYIGDSNF-UMSFTDKQSA-N,Small molecule,,0,0,400-600,588.84,ChEMBL property-stratified molecule without FKS/glucan/antifungal keyword evidence,Cc1nccn1CCCCc1ccc(CC(=O)N[C@H](CO)Cc2ccc(OCCC3CCCCC3)c(CCCN)c2)cc1,YNCAROCYIGDSNF-UMSFTDKQSA-N,C36H52N4O3,O=C(Cc1ccc(CCCCn2ccnc2)cc1)NCCc1ccc(OCCC2CCCCC2)cc1,76,588.403941524,588.8370000000003,5.7172200000000055,173.2728999999996,102.4,3,5,18,43,7,4,3,1,0.5555555555555556,0,1,1,0
CHEMBL268596,CHEMBL268596,COc1cc(C(=O)N2CCN(C(=O)c3cc(OC)c(OC)c(OC)c3)C(COC(=O)C(C)(C)C)C2)cc(OC)c1OC,BXIGZIXGNMVVFJ-UHFFFAOYSA-N,Small molecule,,0,0,400-600,588.65,ChEMBL property-stratified molecule without FKS/glucan/antifungal keyword evidence,COc1cc(C(=O)N2CCN(C(=O)c3cc(OC)c(OC)c(OC)c3)C(COC(=O)C(C)(C)C)C2)cc(OC)c1OC,BXIGZIXGNMVVFJ-UHFFFAOYSA-N,C30H40N2O10,O=C(c1ccccc1)N1CCN(C(=O)c2ccccc2)CC1,47,588.2682954799999,588.6540000000003,3.2943000000000016,153.33799999999974,122.30000000000001,0,10,10,42,12,3,2,1,0.5,0,1,0,1
CHEMBL414007,CHEMBL414007,CCC(CC)C(=O)OCC1CN(Cc2cc(OC)c(OC)c(OC)c2)CCN1Cc1cc(OC)c(OC)c(OC)c1,YBFGTQXXZOBAGN-UHFFFAOYSA-N,Small molecule,,0,0,400-600,574.72,ChEMBL property-stratified molecule without FKS/glucan/antifungal keyword evidence,CCC(CC)C(=O)OCC1CN(Cc2cc(OC)c(OC)c(OC)c2)CCN1Cc1cc(OC)c(OC)c(OC)c1,YBFGTQXXZOBAGN-UHFFFAOYSA-N,C31H46N2O8,c1ccc(CN2CCN(Cc3ccccc3)CC2)cc1,48,574.325416432,574.7150000000004,4.4040000000000035,156.70199999999969,88.16000000000001,0,10,15,41,10,3,2,1,0.5806451612903226,0,1,0,1
CHEMBL267229,CHEMBL267229,COc1cc(N2CCN(c3cc(OC)c(OC)c(OC)c3)CC2)cc(OC)c1OC,VCGBVLOXSFYYES-UHFFFAOYSA-N,Small molecule,,0,0,400-600,418.49,ChEMBL property-stratified molecule without FKS/glucan/antifungal keyword evidence,COc1cc(N2CCN(c3cc(OC)c(OC)c(OC)c3)CC2)cc(OC)c1OC,VCGBVLOXSFYYES-UHFFFAOYSA-N,C22H30N2O6,c1ccc(N2CCN(c3ccccc3)CC2)cc1,22,418.21038667999994,418.4900000000003,3.0648000000000017,116.62200000000007,61.860000000000014,0,8,8,30,8,3,2,1,0.45454545454545453,0,0,0,0
CHEMBL6244,CHEMBL6244,COc1cc(C(=O)N2CCN(C(=O)c3cc(OC)c(OC)c(OC)c3)CC2)cc(OC)c1OC,RSMOCRIXTHPCBX-UHFFFAOYSA-N,Small molecule,,0,0,400-600,474.51,ChEMBL property-stratified molecule without FKS/glucan/antifungal keyword evidence,COc1cc(C(=O)N2CCN(C(=O)c3cc(OC)c(OC)c(OC)c3)CC2)cc(OC)c1OC,RSMOCRIXTHPCBX-UHFFFAOYSA-N,C24H30N2O8,O=C(c1ccccc1)N1CCN(C(=O)c2ccccc2)CC1,27,474.2002159199999,474.51000000000033,2.3364000000000003,124.00300000000006,96.00000000000001,0,8,8,34,10,3,2,1,0.4166666666666667,0,0,0,0
CHEMBL6242,CHEMBL6242,Cc1nccn1CCCCc1ccc(CC(=O)N[C@@H](CO)Cc2ccc(OCCC3CCCCC3)c(CCCN)c2)cc1,YNCAROCYIGDSNF-UUWRZZSWSA-N,Small molecule,,0,0,400-600,588.84,ChEMBL property-stratified molecule without FKS/glucan/antifungal keyword evidence,Cc1nccn1CCCCc1ccc(CC(=O)N[C@@H](CO)Cc2ccc(OCCC3CCCCC3)c(CCCN)c2)cc1,YNCAROCYIGDSNF-UUWRZZSWSA-N,C36H52N4O3,O=C(Cc1ccc(CCCCn2ccnc2)cc1)NCCc1ccc(OCCC2CCCCC2)cc1,76,588.403941524,588.8370000000003,5.7172200000000055,173.2728999999996,102.4,3,5,18,43,7,4,3,1,0.5555555555555556,0,1,1,0
