dataset_version,compound_source,compound_id,compound_name,smiles,rdkit_parse_ok,murcko_scaffold_smiles,ecfp4_on_bits,exact_mw_rdkit,clogp_rdkit,tpsa_rdkit,hbd_rdkit,hba_rdkit,rotb_rdkit,heavy_atom_count_rdkit,hetero_atom_count_rdkit,ring_count_rdkit,aromatic_ring_count_rdkit,fsp3_rdkit,formal_charge_rdkit,stereo_centers_assigned_rdkit,stereo_centers_unassigned_rdkit,descriptor_pc1,descriptor_pc2
papulacandin_external_fks_space_v0_1,external_fks_model_ready,EXT-FKS-0298,CHEMBL2046745,CC(NS(=O)(=O)N1CCN(/C(C=N)=C(\OCC2(C)CC2)C(=O)Nc2cccc(Cl)c2)CC1)c1cccc(N)c1,yes,O=C(Nc1ccccc1)/C(=C/N1CCN(S(=O)(=O)NCc2ccccc2)CC1)OCC1CC1,73,574.2129022799999,3.7517700000000014,140.85000000000002,4,7,11,39,12,4,2,0.4074074074074074,0,0,1,2.67956,-0.296452
papulacandin_external_fks_space_v0_1,external_fks_model_ready,EXT-FKS-0299,CHEMBL2046746,CC1(CO/C(C(=O)Nc2cccc(Cl)c2)=C(/C=N)N2CCN(S(=O)(=O)NCc3ccc(N)c(F)c3)CC2)CC1,yes,O=C(Nc1ccccc1)C(=CN1CCN(S(=O)(=O)NCc2ccccc2)CC1)OCC1CC1,74,578.187830404,3.329870000000001,140.85,4,7,11,39,13,4,2,0.3846153846153846,0,0,0,2.649347,-0.04984
papulacandin_external_fks_space_v0_1,external_fks_model_ready,EXT-FKS-0300,CHEMBL2046747,Cc1cc(CNS(=O)(=O)N2CCN(/C(C=N)=C(\OCC3(C)CC3)C(=O)Nc3cccc(Cl)c3)CC2)ccc1N,yes,O=C(Nc1ccccc1)/C(=C/N1CCN(S(=O)(=O)NCc2ccccc2)CC1)OCC1CC1,73,574.2129022799999,3.4991900000000014,140.85000000000002,4,7,11,39,12,4,2,0.4074074074074074,0,0,0,2.690405,-0.112626
papulacandin_external_fks_space_v0_1,external_fks_model_ready,EXT-FKS-0301,CHEMBL2046748,COc1cc(CNS(=O)(=O)N2CCN(/C(C=N)=C(\OCC3(C)CC3)C(=O)Nc3cccc(Cl)c3)CC2)ccc1N,yes,O=C(Nc1ccccc1)/C(=C/N1CCN(S(=O)(=O)NCc2ccccc2)CC1)OCC1CC1,75,590.2078168999999,3.19937,150.08,4,8,12,40,13,4,2,0.4074074074074074,0,0,0,2.469588,-0.089173
papulacandin_external_fks_space_v0_1,external_fks_model_ready,EXT-FKS-0302,CHEMBL2059384,O=c1c(OC2CCCC2)c(N2CCN(S(=O)(=O)Cc3ccccc3)CC2)cnn1-c1cc(F)cc(F)c1,yes,O=c1c(OC2CCCC2)c(N2CCN(S(=O)(=O)Cc3ccccc3)CC2)cnn1-c1ccccc1,58,530.179932816,3.4841000000000024,84.74000000000001,0,6,7,37,11,5,3,0.3846153846153846,0,0,0,3.659327,0.911449
papulacandin_external_fks_space_v0_1,external_fks_model_ready,EXT-FKS-0303,CHEMBL2059385,O=c1c(OC2CCCCC2)c(N2CCN(S(=O)(=O)Cc3ccccc3)CC2)cnn1-c1cccc(Cl)c1,yes,O=c1c(OC2CCCCC2)c(N2CCN(S(=O)(=O)Cc3ccccc3)CC2)cnn1-c1ccccc1,60,542.175454152,4.249400000000004,84.74000000000001,0,6,7,37,10,5,3,0.4074074074074074,0,0,0,3.683244,0.857381
papulacandin_external_fks_space_v0_1,external_fks_model_ready,EXT-FKS-0304,CHEMBL2059473,CC1(COc2c(N3CCN(S(=O)(=O)Cc4ccccc4)CC3)cnn(-c3cccc(Cl)c3)c2=O)CC1,yes,O=c1c(OCC2CC2)c(N2CCN(S(=O)(=O)Cc3ccccc3)CC2)cnn1-c1ccccc1,62,528.159804088,3.7168000000000023,84.74000000000001,0,6,8,36,10,5,3,0.3846153846153846,0,0,0,3.638969,0.884954
papulacandin_external_fks_space_v0_1,external_fks_model_ready,EXT-FKS-0305,CHEMBL2059474,O=c1c(OCC2(CF)CC2)c(N2CCN(S(=O)(=O)Cc3ccccc3)CC2)cnn1-c1cccc(Cl)c1,yes,O=c1c(OCC2CC2)c(N2CCN(S(=O)(=O)Cc3ccccc3)CC2)cnn1-c1ccccc1,64,546.150382276,3.666400000000002,84.74000000000001,0,6,9,37,11,5,3,0.3846153846153846,0,0,0,3.503558,0.8944
papulacandin_external_fks_space_v0_1,external_fks_model_ready,EXT-FKS-0306,CHEMBL2059475,O=c1c(OC2CCOCC2)c(N2CCN(S(=O)(=O)Cc3ccccc3)CC2)cnn1-c1cccc(Cl)c1,yes,O=c1c(OC2CCOCC2)c(N2CCN(S(=O)(=O)Cc3ccccc3)CC2)cnn1-c1ccccc1,61,544.1547187080001,3.0957000000000017,93.97,0,7,7,37,11,5,3,0.3846153846153846,0,0,0,3.50613,0.9403
papulacandin_external_fks_space_v0_1,external_fks_model_ready,EXT-FKS-0307,CHEMBL2059476,O=c1c(OC2CCC(O)C2)c(N2CCN(S(=O)(=O)Cc3ccccc3)CC2)cnn1-c1cccc(Cl)c1,yes,O=c1c(OC2CCCC2)c(N2CCN(S(=O)(=O)Cc3ccccc3)CC2)cnn1-c1ccccc1,64,544.1547187080001,2.8301000000000007,104.97,1,7,7,37,11,5,3,0.3846153846153846,0,0,2,3.315954,0.592815
