external_compound_id,preferred_name,auto_review_confidence,auto_fks1_specificity,external_training_role,label_weight_external_pretraining,rdkit_parse_ok,canonical_smiles_rdkit,inchikey_rdkit,molecular_formula,murcko_scaffold_smiles,ecfp4_on_bits,exact_mw_rdkit,mol_wt_rdkit,clogp_rdkit,mol_mr_rdkit,tpsa_rdkit,hbd_rdkit,hba_rdkit,rotb_rdkit,heavy_atom_count_rdkit,hetero_atom_count_rdkit,ring_count_rdkit,aromatic_ring_count_rdkit,aliphatic_ring_count_rdkit,saturated_ring_count_rdkit,fsp3_rdkit,formal_charge_rdkit,stereo_centers_total_rdkit,stereo_centers_assigned_rdkit,stereo_centers_unassigned_rdkit,double_bonds_unassigned_ez_rdkit
EXT-FKS-0028,IBREXAFUNGERP,medium_high,FKS_or_beta_1_3_glucan_synthase_inhibitor,pretraining_positive_medium_high_direct_FKS,0.75,yes,CC(C)[C@@H](C)[C@@]1(C)CC[C@]2(C)[C@H]3CC[C@@H]4[C@@]5(COC[C@@]4(C)[C@@H](OC[C@](C)(N)C(C)(C)C)[C@H](n4ncnc4-c4ccncc4)C5)C3=CC[C@@]2(C)[C@@H]1C(=O)O,BODYFEUFKHPRCK-ZCZMVWJSSA-N,C44H67N5O4,C1=C2[C@H](CC[C@H]3C4COC[C@@]23C[C@@H](n2ncnc2-c2ccncc2)C4)C2CCCCC2C1,91,729.5193056240003,730.051,8.618400000000008,207.65019999999924,125.38000000000001,2,7,8,53,9,7,2,5,4,0.7727272727272727,0,12,12,0,0
EXT-FKS-0035,CHEMBL437803,high,FKS_or_beta_1_3_glucan_synthase_inhibitor,pretraining_positive_high_confidence_direct_FKS,1.0,yes,CCC(C)CC(C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CCN)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,OXVVQYCKEAJWFA-QVCGFCSKSA-N,C50H82N8O16,O=C1CCCCNC(=O)[C@@H]2CCCN2C(=O)CNC(=O)[C@H](CCc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)CN1,94,1050.584878544,1051.246,-2.867899999999995,265.35009999999943,394.2099999999999,15,17,20,74,24,4,1,3,3,0.74,0,16,14,2,0
EXT-FKS-0043,FR-901469,high,FKS_or_beta_1_3_glucan_synthase_inhibitor,pretraining_positive_high_confidence_direct_FKS,1.0,yes,CCCCCCCCCCCCC[C@@H]1CC(=O)N[C@H]([C@@H](C)O)C(=O)N[C@H](C)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](C(C)C)C(=O)N2C[C@H](O)C[C@H]2C(=O)N[C@H]([C@@H](C)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N2CC[C@H](O)[C@H]2C(=O)N[C@@H]([C@H](O)CC(N)=O)C(=O)NCC(=O)N[C@H]([C@@H](C)O)C(=O)N[C@@H](CCCN)C(=O)O1,LTLDDYQPSWDOBJ-UNEDFBIISA-N,C71H116N14O23,O=C1CCOC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]2CCCN2C(=O)CNC(=O)CNC(=O)[C@@H]2CCCN2C(=O)CNC(=O)[C@H](Cc2ccccc2)NC(=O)CNC(=O)CN1,110,1532.8337759719993,1533.784000000001,-5.471400000000017,385.36320000000103,588.87,20,24,25,108,37,4,1,3,3,0.7183098591549296,0,19,19,0,0
EXT-FKS-0044,Echinocandin B,medium_high,FKS_or_beta_1_3_glucan_synthase_inhibitor,pretraining_positive_medium_high_direct_FKS,0.75,yes,CCC/C=C/C/C=C/CC(=O)N[C@H]1C[C@@H](O)[C@H](O)NC(=O)[C@@H]2[C@@H](O)[C@@H](C)CN2C(=O)[C@H]([C@H](O)CC(N)=O)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)c(OS(=O)(=O)[O-])c2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O.[Na+],HLSQYVZWZLUVDN-GTNXIKMYSA-M,C45H65N8NaO21S,O=C1CCCCNC(=O)[C@@H]2CCCN2C(=O)CNC(=O)[C@H](CCc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)CN1,107,1108.3882663800002,1109.1070000000004,-9.752700000000026,252.61229999999958,477.71,15,21,16,76,31,4,1,3,3,0.6,0,15,15,0,0
EXT-FKS-0050,CHEMBL267988,high,FKS_or_beta_1_3_glucan_synthase_inhibitor,pretraining_positive_high_confidence_direct_FKS,1.0,yes,CCC(C)CC(C)CCCCCCCCC(=O)N[C@@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@@H](O)CC(N)=O)NC(=O)[C@H]([C@@H](O)[C@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,DQXPFAADCTZLNL-JQMOYGRJSA-N,C50H80N8O17,O=C1CCCCNC(=O)[C@@H]2CCCN2C(=O)CNC(=O)[C@H](CCc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)CN1,95,1064.5641431000001,1065.2290000000003,-3.3412999999999955,265.4900999999995,411.28,15,17,20,75,25,4,1,3,3,0.72,0,16,14,2,0
EXT-FKS-0051,CHEMBL385455,high,FKS_or_beta_1_3_glucan_synthase_inhibitor,pretraining_positive_high_confidence_direct_FKS,1.0,yes,CCC(C)CC(C)CCCCCCCCC(=O)NC1C[C@@H](O)[C@@H](OCCN)NC(=O)C2CN(C[C@@H]2O)C(=O)[C@H]([C@H](O)CCNC(=O)[C@@H](N)CCCN)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)C2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,AEXQBFYJTRESJP-ATBNLJFASA-N,C57H97N11O17,O=C1CCCCNC(=O)C2CCN(C2)C(=O)CNC(=O)[C@H](CCc2ccccc2)NC(=O)C2CCCN2C(=O)CN1,111,1207.7063906439998,1208.4630000000002,-3.8037000000000205,308.30879999999974,464.35,17,20,28,85,28,4,1,3,3,0.7543859649122807,0,17,12,5,0
EXT-FKS-0052,CHEMBL405670,high,FKS_or_beta_1_3_glucan_synthase_inhibitor,pretraining_positive_high_confidence_direct_FKS,1.0,yes,CCC(C)CC(C)CCCCCCCCC(=O)NC1C[C@@H](O)[C@@H](OCCN)NC(=O)C2CN(C[C@@H]2O)C(=O)[C@H]([C@H](O)CCN)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)C2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,VCZHYLFAPHFKOG-INQNAKBFSA-N,C52H87N9O16,O=C1CCCCNC(=O)C2CCN(C2)C(=O)CNC(=O)[C@H](CCc2ccccc2)NC(=O)C2CCCN2C(=O)CN1,100,1093.6270777040002,1094.3150000000003,-3.027400000000006,278.0896999999996,409.22999999999996,15,18,23,77,25,4,1,3,3,0.75,0,16,11,5,0
EXT-FKS-0053,CHEMBL407395,high,FKS_or_beta_1_3_glucan_synthase_inhibitor,pretraining_positive_high_confidence_direct_FKS,1.0,yes,CCC(C)CC(C)CCCCCCCCC(=O)N[C@@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@@H](O)CC(N)=O)NC(=O)[C@H]([C@@H](O)[C@H](O)c2ccc(O)c(NC(=O)CCN)c2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,JJROYJWMNBLAMS-QLHUPYNXSA-N,C53H86N10O18,O=C1CCCCNC(=O)[C@@H]2CCCN2C(=O)CNC(=O)[C@H](CCc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)CN1,106,1150.612155912,1151.3229999999999,-4.054000000000007,287.79119999999966,466.3999999999999,17,19,23,81,28,4,1,3,3,0.7169811320754716,0,16,14,2,0
EXT-FKS-0054,CHEMBL412195,high,FKS_or_beta_1_3_glucan_synthase_inhibitor,pretraining_positive_high_confidence_direct_FKS,1.0,yes,CCC(C)CC(C)CCCCCCCCC(=O)N[C@@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@@H](O)CC(N)=O)NC(=O)[C@H]([C@@H](O)[C@H](O)c2ccc(O)c(NC(=O)CCC(=O)O)c2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,YOFKROYRHKSFSI-XAZRDIKZSA-N,C54H85N9O20,O=C1CCCCNC(=O)[C@@H]2CCCN2C(=O)CNC(=O)[C@H](CCc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)CN1,106,1179.59108612,1180.3170000000002,-3.5380000000000025,290.9895999999997,477.67999999999995,17,19,24,83,29,4,1,3,3,0.7037037037037037,0,16,14,2,0
EXT-FKS-0055,CHEMBL414690,high,FKS_or_beta_1_3_glucan_synthase_inhibitor,pretraining_positive_high_confidence_direct_FKS,1.0,yes,CCC(C)CC(C)CCCCCCCCC(=O)N[C@@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@@H](O)CC(N)=O)NC(=O)[C@H]([C@@H](O)[C@H](O)c2ccc(O)c(NC(=O)CN)c2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,JEFYZWMIOKCYDC-JUAGRKTBSA-N,C52H84N10O18,O=C1CCCCNC(=O)[C@@H]2CCCN2C(=O)CNC(=O)[C@H](CCc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)CN1,105,1136.5965058479999,1137.2959999999998,-4.444100000000007,283.17419999999964,466.3999999999999,17,19,22,80,28,4,1,3,3,0.7115384615384616,0,16,14,2,0
EXT-FKS-0069,CHEMBL1793852,high,FKS_or_beta_1_3_glucan_synthase_inhibitor,pretraining_positive_high_confidence_direct_FKS,1.0,yes,CCC(C)CC(C)CCCCCCCCC(=O)N[C@@H]1C[C@@H](O)[C@@H](NCCN)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](O)CCN)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,XQTOEGVAOWZIFC-OAOGYFCRSA-N,C52H88N10O15,O=C1CCCCNC(=O)[C@@H]2CCCN2C(=O)CNC(=O)[C@H](CCc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)CN1,90,1092.6430621160002,1093.3310000000001,-3.31190000000001,280.1883999999996,412.03,16,18,23,77,25,4,1,3,3,0.75,0,16,14,2,0
EXT-FKS-0070,CHEMBL2371681,high,FKS_or_beta_1_3_glucan_synthase_inhibitor,pretraining_positive_high_confidence_direct_FKS,1.0,yes,CCCCCCCCCCCCC[C@@H]1CC(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@H](C)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](C(C)C)C(=O)N2C[C@H](O)C[C@H]2C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N2CC[C@H](O)[C@H]2C(=O)N[C@@H]([C@H](O)CC(N)=O)C(=O)NCC(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCCN(CCN)C(=O)[C@H](CCCN)N(CCN)CCN)C(=O)O1,HAIITWNVASIXME-UIEXKLOXSA-N,C82H141N19O24,O=C1CCOC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]2CCCN2C(=O)CNC(=O)CNC(=O)[C@@H]2CCCN2C(=O)CNC(=O)[C@H](Cc2ccccc2)NC(=O)CNC(=O)CN1,126,1776.039686391999,1777.139000000002,-7.3158999999999414,453.7014000000011,690.48,23,29,37,125,43,4,1,3,3,0.7439024390243902,0,20,20,0,0
