method,template,source,mode,pose,vina_kcal,cnn_score,cnn_affinity,diffdock_conf
diffdock,9WZU_apo,diffdock,blind,rank20,,,,-3.35
diffdock,9WZU_apo,diffdock,blind,rank21,,,,-3.38
diffdock,9WZU_apo,diffdock,blind,rank22,,,,-3.45
diffdock,9WZU_apo,diffdock,blind,rank23,,,,-3.48
diffdock,9WZU_apo,diffdock,blind,rank24,,,,-3.54
diffdock,9WZU_apo,diffdock,blind,rank25,,,,-3.54
diffdock,9WZU_apo,diffdock,blind,rank26,,,,-3.55
diffdock,9WZU_apo,diffdock,blind,rank27,,,,-3.57
diffdock,9WZU_apo,diffdock,blind,rank28,,,,-3.61
diffdock,9WZU_apo,diffdock,blind,rank29,,,,-3.65
diffdock,9WZU_apo,diffdock,blind,rank2,,,,-2.49
diffdock,9WZU_apo,diffdock,blind,rank30,,,,-3.66
diffdock,9WZU_apo,diffdock,blind,rank31,,,,-3.71
diffdock,9WZU_apo,diffdock,blind,rank32,,,,-3.73
diffdock,9WZU_apo,diffdock,blind,rank33,,,,-3.73
diffdock,9WZU_apo,diffdock,blind,rank34,,,,-3.77
diffdock,9WZU_apo,diffdock,blind,rank35,,,,-3.8
diffdock,9WZU_apo,diffdock,blind,rank36,,,,-3.89
diffdock,9WZU_apo,diffdock,blind,rank37,,,,-4.08
diffdock,9WZU_apo,diffdock,blind,rank38,,,,-4.19
diffdock,9WZU_apo,diffdock,blind,rank39,,,,-4.65
diffdock,9WZU_apo,diffdock,blind,rank3,,,,-2.53
diffdock,9WZU_apo,diffdock,blind,rank40,,,,-5.51
diffdock,9WZU_apo,diffdock,blind,rank4,,,,-2.61
diffdock,9WZU_apo,diffdock,blind,rank5,,,,-2.8
diffdock,9WZU_apo,diffdock,blind,rank6,,,,-2.82
diffdock,9WZU_apo,diffdock,blind,rank7,,,,-2.83
diffdock,9WZU_apo,diffdock,blind,rank8,,,,-2.9
diffdock,9WZU_apo,diffdock,blind,rank9,,,,-2.95
diffdock,apo_8WL6,diffdock,blind,rank1,,,,
diffdock,apo_8WL6,diffdock,blind,rank10,,,,-3.37
diffdock,apo_8WL6,diffdock,blind,rank11,,,,-3.39
diffdock,apo_8WL6,diffdock,blind,rank12,,,,-3.39
diffdock,apo_8WL6,diffdock,blind,rank13,,,,-3.4
diffdock,apo_8WL6,diffdock,blind,rank14,,,,-3.42
diffdock,apo_8WL6,diffdock,blind,rank15,,,,-3.42
diffdock,apo_8WL6,diffdock,blind,rank16,,,,-3.43
diffdock,apo_8WL6,diffdock,blind,rank17,,,,-3.5
diffdock,apo_8WL6,diffdock,blind,rank18,,,,-3.57
diffdock,apo_8WL6,diffdock,blind,rank19,,,,-3.57
diffdock,apo_8WL6,diffdock,blind,rank1,,,,-2.8
diffdock,apo_8WL6,diffdock,blind,rank20,,,,-3.62
diffdock,apo_8WL6,diffdock,blind,rank21,,,,-3.66
diffdock,apo_8WL6,diffdock,blind,rank22,,,,-3.68
diffdock,apo_8WL6,diffdock,blind,rank23,,,,-3.69
diffdock,apo_8WL6,diffdock,blind,rank24,,,,-3.73
diffdock,apo_8WL6,diffdock,blind,rank25,,,,-3.74
diffdock,apo_8WL6,diffdock,blind,rank26,,,,-3.78
diffdock,apo_8WL6,diffdock,blind,rank27,,,,-3.81
diffdock,apo_8WL6,diffdock,blind,rank28,,,,-3.83
diffdock,apo_8WL6,diffdock,blind,rank29,,,,-3.84
diffdock,apo_8WL6,diffdock,blind,rank2,,,,-2.93
diffdock,apo_8WL6,diffdock,blind,rank30,,,,-3.85
diffdock,apo_8WL6,diffdock,blind,rank31,,,,-3.91
diffdock,apo_8WL6,diffdock,blind,rank32,,,,-3.93
diffdock,apo_8WL6,diffdock,blind,rank33,,,,-4.01
diffdock,apo_8WL6,diffdock,blind,rank34,,,,-4.03
diffdock,apo_8WL6,diffdock,blind,rank35,,,,-4.05
diffdock,apo_8WL6,diffdock,blind,rank36,,,,-4.05
diffdock,apo_8WL6,diffdock,blind,rank37,,,,-4.1
diffdock,apo_8WL6,diffdock,blind,rank38,,,,-4.15
diffdock,apo_8WL6,diffdock,blind,rank39,,,,-4.2
diffdock,apo_8WL6,diffdock,blind,rank3,,,,-3.05
diffdock,apo_8WL6,diffdock,blind,rank40,,,,-4.3
diffdock,apo_8WL6,diffdock,blind,rank4,,,,-3.07
