chemotype,compound_id,compound_name,compound_class,organism,strain,reference_id,match_level,pairing_confidence,unit,serum_condition,free_mic,serum_mic,free_activity,serum_activity,serum_tolerance,serum_shift,serum_shift_meaningful,log10_serum_shift,intrinsic_potency_free_mic_uM,intrinsic_potency_pMIC,acyl_tail_type,acyl_tail_geometry
papulacandin,PAPU-0002,Papulacandin B,papulacandin,Cryptococcus albidus,ATCC 34140,PAPER-1995-JACKSON,strain_within_study,high,ug/mL,50% mouse serum,6.25,100.0,active,inactive,lost,16.0,False,1.2041,6.9412,5.1586,C16 unsaturated fatty acid residue,
papulacandin,PAPU-0066,Fusacandin A,papulacandin_class_natural_product,Saccharomyces cerevisiae,GS1-36,PAPER-1995-JACKSON,strain_within_study,high,ug/mL,50% mouse serum,3.12,100.0,active,inactive,lost,32.0513,False,1.5058,3.0514,5.5155,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0002,Papulacandin B,papulacandin,Saccharomyces cerevisiae,GS1-36,PAPER-1995-JACKSON,strain_within_study,high,ug/mL,50% mouse serum,6.25,100.0,active,inactive,lost,16.0,False,1.2041,6.9412,5.1586,C16 unsaturated fatty acid residue,
papulacandin,PAPU-0066,Fusacandin A,papulacandin_class_natural_product,Aspergillus niger,ATCC 16404,PAPER-1995-JACKSON,strain_within_study,high,ug/mL,50% mouse serum,6.25,100.0,active,inactive,lost,16.0,False,1.2041,6.1126,5.2138,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0002,Papulacandin B,papulacandin,Aspergillus niger,ATCC 16404,PAPER-1995-JACKSON,strain_within_study,high,ug/mL,50% mouse serum,12.5,100.0,active,inactive,lost,8.0,False,0.9031,13.8825,4.8575,C16 unsaturated fatty acid residue,
papulacandin,PAPU-0002,Papulacandin B,papulacandin,Candida albicans,ATCC 10231,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,0.2,100.0,active,inactive,lost,500.0,False,2.699,0.2221,6.6534,C16 unsaturated fatty acid residue,
papulacandin,PAPU-0002,Papulacandin B,papulacandin,Candida albicans,579a,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,0.78,100.0,active,inactive,lost,128.2051,False,2.1079,0.8663,6.0623,C16 unsaturated fatty acid residue,
papulacandin,PAPU-0002,Papulacandin B,papulacandin,Candida albicans,CCH 442,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,0.78,100.0,active,inactive,lost,128.2051,False,2.1079,0.8663,6.0623,C16 unsaturated fatty acid residue,
papulacandin,PAPU-0002,Papulacandin B,papulacandin,Candida albicans,ATCC 38247,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,0.39,100.0,active,inactive,lost,256.4103,False,2.4089,0.4331,6.3634,C16 unsaturated fatty acid residue,
papulacandin,PAPU-0002,Papulacandin B,papulacandin,Candida albicans,ATCC 62376,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,0.39,100.0,active,inactive,lost,256.4103,False,2.4089,0.4331,6.3634,C16 unsaturated fatty acid residue,
papulacandin,PAPU-0066,Fusacandin A,papulacandin_class_natural_product,Candida albicans,ATCC 10231,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,1.56,100.0,active,inactive,lost,64.1026,False,1.8069,1.5257,5.8165,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0066,Fusacandin A,papulacandin_class_natural_product,Candida albicans,579a,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,0.78,100.0,active,inactive,lost,128.2051,False,2.1079,0.7629,6.1176,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0066,Fusacandin A,papulacandin_class_natural_product,Candida albicans,CCH 442,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,0.78,100.0,active,inactive,lost,128.2051,False,2.1079,0.7629,6.1176,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0066,Fusacandin A,papulacandin_class_natural_product,Candida albicans,ATCC 38247,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,0.78,100.0,active,inactive,lost,128.2051,False,2.1079,0.7629,6.1176,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0066,Fusacandin A,papulacandin_class_natural_product,Candida albicans,ATCC 62376,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,1.56,100.0,active,inactive,lost,64.1026,False,1.8069,1.5257,5.8165,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0067,Fusacandin B,papulacandin_class_natural_product,Candida albicans,ATCC 10231,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,50.0,100.0,active,inactive,lost,2.0,False,0.301,57.3153,4.2417,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0067,Fusacandin B,papulacandin_class_natural_product,Candida albicans,579a,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,25.0,100.0,active,inactive,lost,4.0,False,0.6021,28.6576,4.5428,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0067,Fusacandin B,papulacandin_class_natural_product,Candida albicans,CCH 442,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,25.0,100.0,active,inactive,lost,4.0,False,0.6021,28.6576,4.5428,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0067,Fusacandin B,papulacandin_class_natural_product,Candida albicans,ATCC 38247,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,100.0,100.0,inactive,inactive,uninformative,1.0,False,0.0,114.6305,3.9407,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0067,Fusacandin B,papulacandin_class_natural_product,Candida albicans,ATCC 62376,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,50.0,100.0,active,inactive,lost,2.0,False,0.301,57.3153,4.2417,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0071,Fusacandin analog 6a,fusacandin_derivative,Candida albicans,ATCC 10231,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,1.56,100.0,active,inactive,lost,64.1026,False,1.8069,1.5051,5.8224,Fusacandin A C-3 lipophilic side chain retained,
