dataset,role,chemotype,n_rows,n_compounds,n_informative,n_retained,n_lost,n_references,notes
papulacandin_curated_matched_pairs,direct_serum_tolerance_labels,papulacandin,143,24,135,61,74,3,within-study matched serum-free/serum MIC; ceiling rule applied
invivo_efficacy_proxies,presumed_positive_labels,papulacandin+echinocandin,52,49,52,52,0,9,in-vivo efficacy -> presumed serum-tolerant; cellular-only excluded
echinocandin_external_serum_context,teacher_corpus_unpaired,echinocandin,6238,185,121,,,2944,"121 serum-present, 1126 canonical-FKS; UNPAIRED"
echinocandin_external_free_fraction,free_fraction_oracle_seed,echinocandin,9,1,9,,,9,Fu + PPB rows; seed for Stage-1b free-fraction oracle
