sample_index_by_archive_order,structure_file,is_best_metrics_match,structure_confidence,ptm,iptm,ligand_iptm,protein_iptm,complex_plddt,complex_iplddt,complex_pde,complex_ipde
0,predictions/sample_0_predicted_structure.cif,True,0.7778133749961853,0.8773794174194336,0.7584695816040039,0.7584695816040039,0,0.7826493382453918,0.6964342594146729,1.1297916173934937,5.683616638183594
1,predictions/sample_1_predicted_structure.cif,False,0.7771525979042053,0.8814777731895447,0.7703438401222229,0.7703438401222229,0,0.7788547873497009,0.6949801445007324,1.1040172576904297,5.573675155639648
2,predictions/sample_2_predicted_structure.cif,False,0.7767142653465271,0.884319543838501,0.7743542194366455,0.7743542194366455,0,0.7773042321205139,0.680941104888916,1.0861023664474487,5.222645282745361
3,predictions/sample_3_predicted_structure.cif,False,0.773436963558197,0.8767789006233215,0.7482331991195679,0.7482331991195679,0,0.7797378301620483,0.6845939755439758,1.1303272247314453,5.865944862365723
4,predictions/sample_4_predicted_structure.cif,False,0.7734058499336243,0.8779534697532654,0.7481411695480347,0.7481411695480347,0,0.7797220349311829,0.6888269782066345,1.1245816946029663,5.861087799072266
