activity_id,compound_id,endpoint_type,endpoint_value,endpoint_relation,unit,converted_value_uM,p_activity,label_active_inactive,organism,strain,strain_genotype,resistance_marker,assay_method,medium,temperature_c,duration_h,inoculum,serum_or_protein,solvent,replicates,purity_percent,endpoint_definition,assay_confidence_score,reference_id,source_table_or_figure,source_quote,curation_status,comments
ACT-1993-AOKI-014,PAPU-0002,MIC,1.6,=,ug/mL,1.778,5.75,,Candida albicans,ATCC 32354 (B311),,,broth microdilution,"glucose-yeast nitrogen base (1% glucose, pH 7.0)",37,24,1e5 cells/mL,none,,,,minimum inhibitory concentration,high,PAPER-1993-AOKI,Table 4,Table 4 reports Papulacandin B MIC 1.6 ug/mL against Candida albicans ATCC 32354 (B311).,curated,Amphotericin B and ketoconazole reference columns were not curated in v0.1.
ACT-1993-AOKI-015,PAPU-0002,MIC,1.6,=,ug/mL,1.778,5.75,,Candida albicans,83-2-14,,,broth microdilution,"glucose-yeast nitrogen base (1% glucose, pH 7.0)",37,24,1e5 cells/mL,none,,,,minimum inhibitory concentration,high,PAPER-1993-AOKI,Table 4,Table 4 reports Papulacandin B MIC 1.6 ug/mL against Candida albicans 83-2-14.,curated,Amphotericin B and ketoconazole reference columns were not curated in v0.1.
ACT-1993-AOKI-016,PAPU-0002,MIC,3.1,=,ug/mL,3.444,5.463,,Candida tropicalis,85-5,,,broth microdilution,"glucose-yeast nitrogen base (1% glucose, pH 7.0)",37,24,1e5 cells/mL,none,,,,minimum inhibitory concentration,high,PAPER-1993-AOKI,Table 4,Table 4 reports Papulacandin B MIC 3.1 ug/mL against Candida tropicalis 85-5.,curated,Amphotericin B and ketoconazole reference columns were not curated in v0.1.
ACT-1993-AOKI-017,PAPU-0002,MIC,3.1,=,ug/mL,3.444,5.463,,Candida tropicalis,IFO 10241,,,broth microdilution,"glucose-yeast nitrogen base (1% glucose, pH 7.0)",37,24,1e5 cells/mL,none,,,,minimum inhibitory concentration,high,PAPER-1993-AOKI,Table 4,Table 4 reports Papulacandin B MIC 3.1 ug/mL against Candida tropicalis IFO 10241.,curated,Amphotericin B and ketoconazole reference columns were not curated in v0.1.
ACT-1993-AOKI-018,PAPU-0002,MIC,100,>,ug/mL,111.111,,,Cryptococcus neoformans,D49,,,broth microdilution,"glucose-yeast nitrogen base (1% glucose, pH 7.0)",37,24,1e5 cells/mL,none,,,,minimum inhibitory concentration,high,PAPER-1993-AOKI,Table 4,Table 4 reports Papulacandin B MIC >100 ug/mL against Cryptococcus neoformans D49.,curated,Amphotericin B and ketoconazole reference columns were not curated in v0.1.
ACT-1993-AOKI-019,PAPU-0002,MIC,100,>,ug/mL,111.111,,,Cryptococcus neoformans,IAM 4514,,,broth microdilution,"glucose-yeast nitrogen base (1% glucose, pH 7.0)",37,24,1e5 cells/mL,none,,,,minimum inhibitory concentration,high,PAPER-1993-AOKI,Table 4,Table 4 reports Papulacandin B MIC >100 ug/mL against Cryptococcus neoformans IAM 4514.,curated,Amphotericin B and ketoconazole reference columns were not curated in v0.1.
ACT-1993-AOKI-020,PAPU-0002,MIC,100,>,ug/mL,111.111,,,Aspergillus fumigatus,IAM 2034,,,broth microdilution,"glucose-yeast nitrogen base (1% glucose, pH 7.0)",37,24,1e5 cells/mL,none,,,,minimum inhibitory concentration,high,PAPER-1993-AOKI,Table 4,Table 4 reports Papulacandin B MIC >100 ug/mL against Aspergillus fumigatus IAM 2034.,curated,Amphotericin B and ketoconazole reference columns were not curated in v0.1.
ACT-1993-AOKI-021,PAPU-0065,MIC,1.6,=,ug/mL,1.868,5.729,,Saccharomyces cerevisiae,ATCC 9763,,,broth microdilution,"glucose-yeast nitrogen base (1% glucose, pH 7.0)",37,24,1e5 cells/mL,none,,,,minimum inhibitory concentration,high,PAPER-1993-AOKI,Table 4,Table 4 reports Papulacandin M MIC 1.6 ug/mL against Saccharomyces cerevisiae ATCC 9763.,curated,Amphotericin B and ketoconazole reference columns were not curated in v0.1.
ACT-1993-AOKI-022,PAPU-0065,MIC,0.4,=,ug/mL,0.467,6.331,,Candida albicans,IAM 4888,,,broth microdilution,"glucose-yeast nitrogen base (1% glucose, pH 7.0)",37,24,1e5 cells/mL,none,,,,minimum inhibitory concentration,high,PAPER-1993-AOKI,Table 4,Table 4 reports Papulacandin M MIC 0.4 ug/mL against Candida albicans IAM 4888.,curated,Amphotericin B and ketoconazole reference columns were not curated in v0.1.
ACT-1993-AOKI-023,PAPU-0065,MIC,0.8,=,ug/mL,0.934,6.03,,Candida albicans,A9540,,,broth microdilution,"glucose-yeast nitrogen base (1% glucose, pH 7.0)",37,24,1e5 cells/mL,none,,,,minimum inhibitory concentration,high,PAPER-1993-AOKI,Table 4,Table 4 reports Papulacandin M MIC 0.8 ug/mL against Candida albicans A9540.,curated,Amphotericin B and ketoconazole reference columns were not curated in v0.1.
ACT-1993-AOKI-024,PAPU-0065,MIC,0.8,=,ug/mL,0.934,6.03,,Candida albicans,ATCC 32354 (B311),,,broth microdilution,"glucose-yeast nitrogen base (1% glucose, pH 7.0)",37,24,1e5 cells/mL,none,,,,minimum inhibitory concentration,high,PAPER-1993-AOKI,Table 4,Table 4 reports Papulacandin M MIC 0.8 ug/mL against Candida albicans ATCC 32354 (B311).,curated,Amphotericin B and ketoconazole reference columns were not curated in v0.1.
ACT-1993-AOKI-025,PAPU-0065,MIC,0.4,=,ug/mL,0.467,6.331,,Candida albicans,83-2-14,,,broth microdilution,"glucose-yeast nitrogen base (1% glucose, pH 7.0)",37,24,1e5 cells/mL,none,,,,minimum inhibitory concentration,high,PAPER-1993-AOKI,Table 4,Table 4 reports Papulacandin M MIC 0.4 ug/mL against Candida albicans 83-2-14.,curated,Amphotericin B and ketoconazole reference columns were not curated in v0.1.
ACT-1993-AOKI-026,PAPU-0065,MIC,0.8,=,ug/mL,0.934,6.03,,Candida tropicalis,85-5,,,broth microdilution,"glucose-yeast nitrogen base (1% glucose, pH 7.0)",37,24,1e5 cells/mL,none,,,,minimum inhibitory concentration,high,PAPER-1993-AOKI,Table 4,Table 4 reports Papulacandin M MIC 0.8 ug/mL against Candida tropicalis 85-5.,curated,Amphotericin B and ketoconazole reference columns were not curated in v0.1.
ACT-1993-AOKI-027,PAPU-0065,MIC,0.8,=,ug/mL,0.934,6.03,,Candida tropicalis,IFO 10241,,,broth microdilution,"glucose-yeast nitrogen base (1% glucose, pH 7.0)",37,24,1e5 cells/mL,none,,,,minimum inhibitory concentration,high,PAPER-1993-AOKI,Table 4,Table 4 reports Papulacandin M MIC 0.8 ug/mL against Candida tropicalis IFO 10241.,curated,Amphotericin B and ketoconazole reference columns were not curated in v0.1.
ACT-1993-AOKI-028,PAPU-0065,MIC,100,>,ug/mL,116.769,,,Cryptococcus neoformans,D49,,,broth microdilution,"glucose-yeast nitrogen base (1% glucose, pH 7.0)",37,24,1e5 cells/mL,none,,,,minimum inhibitory concentration,high,PAPER-1993-AOKI,Table 4,Table 4 reports Papulacandin M MIC >100 ug/mL against Cryptococcus neoformans D49.,curated,Amphotericin B and ketoconazole reference columns were not curated in v0.1.
ACT-1993-AOKI-029,PAPU-0065,MIC,100,>,ug/mL,116.769,,,Cryptococcus neoformans,IAM 4514,,,broth microdilution,"glucose-yeast nitrogen base (1% glucose, pH 7.0)",37,24,1e5 cells/mL,none,,,,minimum inhibitory concentration,high,PAPER-1993-AOKI,Table 4,Table 4 reports Papulacandin M MIC >100 ug/mL against Cryptococcus neoformans IAM 4514.,curated,Amphotericin B and ketoconazole reference columns were not curated in v0.1.
ACT-1993-AOKI-030,PAPU-0065,MIC,100,>,ug/mL,116.769,,,Aspergillus fumigatus,IAM 2034,,,broth microdilution,"glucose-yeast nitrogen base (1% glucose, pH 7.0)",37,24,1e5 cells/mL,none,,,,minimum inhibitory concentration,high,PAPER-1993-AOKI,Table 4,Table 4 reports Papulacandin M MIC >100 ug/mL against Aspergillus fumigatus IAM 2034.,curated,Amphotericin B and ketoconazole reference columns were not curated in v0.1.
ACT-1993-KANETO-001,PAPU-0065,MIC,0.31,=,ug/mL,0.362,6.441,,Candida albicans,ATCC 10231,,,two-fold micro-dilution,Sabouraud Dextrose broth,28,48,,none,,,,minimum inhibitory concentration,high,PAPER-1993-KANETO,Table 2,Table 2 reports Mer-WF3010 MIC 0.31 ug/mL against Candida albicans ATCC 10231.,curated,Kaneto 1993 Table 2 compares Mer-WF3010 with Papulacandin B.
ACT-1993-KANETO-002,PAPU-0065,MIC,0.63,=,ug/mL,0.736,6.133,,Candida albicans,IAM4905,,,two-fold micro-dilution,Sabouraud Dextrose broth,28,48,,none,,,,minimum inhibitory concentration,high,PAPER-1993-KANETO,Table 2,Table 2 reports Mer-WF3010 MIC 0.63 ug/mL against Candida albicans IAM4905.,curated,Kaneto 1993 Table 2 compares Mer-WF3010 with Papulacandin B.
ACT-1993-KANETO-003,PAPU-0065,MIC,0.63,=,ug/mL,0.736,6.133,,Candida albicans,TIMM1623,,,two-fold micro-dilution,Sabouraud Dextrose broth,28,48,,none,,,,minimum inhibitory concentration,high,PAPER-1993-KANETO,Table 2,Table 2 reports Mer-WF3010 MIC 0.63 ug/mL against Candida albicans TIMM1623.,curated,Kaneto 1993 Table 2 compares Mer-WF3010 with Papulacandin B.
ACT-1993-KANETO-004,PAPU-0065,MIC,1.25,=,ug/mL,1.46,5.836,,Candida albicans,IFM40009,,,two-fold micro-dilution,Sabouraud Dextrose broth,28,48,,none,,,,minimum inhibitory concentration,high,PAPER-1993-KANETO,Table 2,Table 2 reports Mer-WF3010 MIC 1.25 ug/mL against Candida albicans IFM40009.,curated,Kaneto 1993 Table 2 compares Mer-WF3010 with Papulacandin B.
ACT-1993-KANETO-005,PAPU-0065,MIC,0.31,=,ug/mL,0.362,6.441,,Candida kefyr,IAM4829,,,two-fold micro-dilution,Sabouraud Dextrose broth,28,48,,none,,,,minimum inhibitory concentration,high,PAPER-1993-KANETO,Table 2,Table 2 reports Mer-WF3010 MIC 0.31 ug/mL against Candida kefyr IAM4829.,curated,Kaneto 1993 Table 2 compares Mer-WF3010 with Papulacandin B.
ACT-1993-KANETO-006,PAPU-0065,MIC,40,>,ug/mL,46.708,,,Cryptococcus neoformans,TIMM0354,,,two-fold micro-dilution,Sabouraud Dextrose broth,28,48,,none,,,,minimum inhibitory concentration,high,PAPER-1993-KANETO,Table 2,Table 2 reports Mer-WF3010 MIC >40 ug/mL against Cryptococcus neoformans TIMM0354.,curated,Kaneto 1993 Table 2 compares Mer-WF3010 with Papulacandin B.
ACT-1993-KANETO-007,PAPU-0065,MIC,40,>,ug/mL,46.708,,,Aspergillus fumigatus,TIMM0063,,,two-fold micro-dilution,Sabouraud Dextrose broth,28,48,,none,,,,minimum inhibitory concentration,high,PAPER-1993-KANETO,Table 2,Table 2 reports Mer-WF3010 MIC >40 ug/mL against Aspergillus fumigatus TIMM0063.,curated,Kaneto 1993 Table 2 compares Mer-WF3010 with Papulacandin B.
ACT-1993-KANETO-008,PAPU-0065,MIC,40,>,ug/mL,46.708,,,Aspergillus fumigatus,IFM4942,,,two-fold micro-dilution,Sabouraud Dextrose broth,28,48,,none,,,,minimum inhibitory concentration,high,PAPER-1993-KANETO,Table 2,Table 2 reports Mer-WF3010 MIC >40 ug/mL against Aspergillus fumigatus IFM4942.,curated,Kaneto 1993 Table 2 compares Mer-WF3010 with Papulacandin B.
ACT-1993-KANETO-009,PAPU-0002,MIC,0.16,=,ug/mL,0.178,6.75,,Candida albicans,ATCC 10231,,,two-fold micro-dilution,Sabouraud Dextrose broth,28,48,,none,,,,minimum inhibitory concentration,high,PAPER-1993-KANETO,Table 2,Table 2 reports Papulacandin B MIC 0.16 ug/mL against Candida albicans ATCC 10231.,curated,Kaneto 1993 Table 2 compares Mer-WF3010 with Papulacandin B.
ACT-1993-KANETO-010,PAPU-0002,MIC,0.31,=,ug/mL,0.344,6.463,,Candida albicans,IAM4905,,,two-fold micro-dilution,Sabouraud Dextrose broth,28,48,,none,,,,minimum inhibitory concentration,high,PAPER-1993-KANETO,Table 2,Table 2 reports Papulacandin B MIC 0.31 ug/mL against Candida albicans IAM4905.,curated,Kaneto 1993 Table 2 compares Mer-WF3010 with Papulacandin B.
ACT-1993-KANETO-011,PAPU-0002,MIC,0.63,=,ug/mL,0.7,6.155,,Candida albicans,TIMM1623,,,two-fold micro-dilution,Sabouraud Dextrose broth,28,48,,none,,,,minimum inhibitory concentration,high,PAPER-1993-KANETO,Table 2,Table 2 reports Papulacandin B MIC 0.63 ug/mL against Candida albicans TIMM1623.,curated,Kaneto 1993 Table 2 compares Mer-WF3010 with Papulacandin B.
ACT-1993-KANETO-012,PAPU-0002,MIC,1.25,=,ug/mL,1.389,5.857,,Candida albicans,IFM40009,,,two-fold micro-dilution,Sabouraud Dextrose broth,28,48,,none,,,,minimum inhibitory concentration,high,PAPER-1993-KANETO,Table 2,Table 2 reports Papulacandin B MIC 1.25 ug/mL against Candida albicans IFM40009.,curated,Kaneto 1993 Table 2 compares Mer-WF3010 with Papulacandin B.
ACT-1993-KANETO-013,PAPU-0002,MIC,0.16,=,ug/mL,0.178,6.75,,Candida kefyr,IAM4829,,,two-fold micro-dilution,Sabouraud Dextrose broth,28,48,,none,,,,minimum inhibitory concentration,high,PAPER-1993-KANETO,Table 2,Table 2 reports Papulacandin B MIC 0.16 ug/mL against Candida kefyr IAM4829.,curated,Kaneto 1993 Table 2 compares Mer-WF3010 with Papulacandin B.
ACT-1993-KANETO-014,PAPU-0002,MIC,40,>,ug/mL,44.444,,,Cryptococcus neoformans,TIMM0354,,,two-fold micro-dilution,Sabouraud Dextrose broth,28,48,,none,,,,minimum inhibitory concentration,high,PAPER-1993-KANETO,Table 2,Table 2 reports Papulacandin B MIC >40 ug/mL against Cryptococcus neoformans TIMM0354.,curated,Kaneto 1993 Table 2 compares Mer-WF3010 with Papulacandin B.
ACT-1993-KANETO-015,PAPU-0002,MIC,40,>,ug/mL,44.444,,,Aspergillus fumigatus,TIMM0063,,,two-fold micro-dilution,Sabouraud Dextrose broth,28,48,,none,,,,minimum inhibitory concentration,high,PAPER-1993-KANETO,Table 2,Table 2 reports Papulacandin B MIC >40 ug/mL against Aspergillus fumigatus TIMM0063.,curated,Kaneto 1993 Table 2 compares Mer-WF3010 with Papulacandin B.
ACT-1993-KANETO-016,PAPU-0002,MIC,40,>,ug/mL,44.444,,,Aspergillus fumigatus,IFM4942,,,two-fold micro-dilution,Sabouraud Dextrose broth,28,48,,none,,,,minimum inhibitory concentration,high,PAPER-1993-KANETO,Table 2,Table 2 reports Papulacandin B MIC >40 ug/mL against Aspergillus fumigatus IFM4942.,curated,Kaneto 1993 Table 2 compares Mer-WF3010 with Papulacandin B.
ACT-1993-KANETO-017,PAPU-0065,in_vivo_no_toxic_symptoms,1000,=,mg/kg,,,,Mus musculus,,,,intraperitoneal acute toxicity observation,,,,,none,,,,dose producing no toxic symptoms,medium,PAPER-1993-KANETO,Biological Activity text,Mer-WF3010 did not produce any toxic symptoms in mice at a dose of 1000 mg/kg when administered intraperitoneally.,curated,Toxicity observation only; no antifungal efficacy or PK measured.
ACT-1993-KANETO-018,PAPU-0065,growing_cell_fungicidal_concentration,10,<=,ug/mL,11.677,,,Candida albicans,,,,time-kill viability assay,YEPG medium,28,24,approximately 5e4 CFU,none,,,,lowest figure-shown concentration with reported fungicidal effect in growing-cell medium,medium,PAPER-1993-KANETO,Fig. 3 and Biological Activity text,Mer-WF3010 was fungicidal to growing cells at all levels tested; Fig. 3 shows 10 and 50 ug/mL in medium.,curated,Exact 24 h CFU values are not tabulated; record as context-specific fungicidal observation.
ACT-1993-KANETO-019,PAPU-0065,resting_cell_max_inactive_concentration,50,=,ug/mL,58.385,,,Candida albicans,,,,time-kill viability assay,0.1 M phosphate buffer pH 7.0,28,6,approximately 5e4 CFU,none,,,,highest figure-shown concentration without resting-cell killing,medium,PAPER-1993-KANETO,Fig. 3 and Biological Activity text,Mer-WF3010 is fungicidal to growing cells of C. albicans but is inactive on resting cells.,curated,Fig. 3 shows no meaningful viability decline in buffer at 10 or 50 ug/mL over 6 h.
ACT-1995-JACKSON-001,PAPU-0066,MIC,3.12,=,ug/mL,,,,Candida albicans,ATCC 10231,,,broth microdilution,Yeast Nitrogen Base with 1% glucose,35,24,5e4 cfu/mL,none,,,,lowest concentration completely inhibiting visible growth,high,PAPER-1995-JACKSON,Table 1,Table 1 reports Fusacandin A MIC 3.12 ug/mL against Candida albicans ATCC 10231.,curated,Amphotericin B comparator column was not curated under the Papulacandin-only v0.1 boundary.
ACT-1995-JACKSON-002,PAPU-0067,MIC,100,>,ug/mL,,,,Candida albicans,ATCC 10231,,,broth microdilution,Yeast Nitrogen Base with 1% glucose,35,24,5e4 cfu/mL,none,,,,lowest concentration completely inhibiting visible growth,high,PAPER-1995-JACKSON,Table 1,Table 1 reports Fusacandin B MIC >100 ug/mL against Candida albicans ATCC 10231.,curated,Amphotericin B comparator column was not curated under the Papulacandin-only v0.1 boundary.
ACT-1995-JACKSON-003,PAPU-0002,MIC,1.56,=,ug/mL,1.733,5.761,,Candida albicans,ATCC 10231,,,broth microdilution,Yeast Nitrogen Base with 1% glucose,35,24,5e4 cfu/mL,none,,,,lowest concentration completely inhibiting visible growth,high,PAPER-1995-JACKSON,Table 1,Table 1 reports Papulacandin B MIC 1.56 ug/mL against Candida albicans ATCC 10231.,curated,Amphotericin B comparator column was not curated under the Papulacandin-only v0.1 boundary.
ACT-1995-JACKSON-004,PAPU-0066,MIC,100,>,ug/mL,,,,Candida albicans,ATCC 10231,,,broth microdilution,Yeast Nitrogen Base with 1% glucose,35,24,5e4 cfu/mL,50% mouse serum,,,,lowest concentration completely inhibiting visible growth in 50% mouse serum,high,PAPER-1995-JACKSON,Table 1,Table 1 reports Fusacandin A MIC >100 ug/mL against Candida albicans ATCC 10231 with 50% mouse serum.,curated,Serum-shift row; Fusacandin B and amphotericin B serum columns were not reported/curated.
ACT-1995-JACKSON-005,PAPU-0002,MIC,100,>,ug/mL,111.111,,,Candida albicans,ATCC 10231,,,broth microdilution,Yeast Nitrogen Base with 1% glucose,35,24,5e4 cfu/mL,50% mouse serum,,,,lowest concentration completely inhibiting visible growth in 50% mouse serum,high,PAPER-1995-JACKSON,Table 1,Table 1 reports Papulacandin B MIC >100 ug/mL against Candida albicans ATCC 10231 with 50% mouse serum.,curated,Serum-shift row; Fusacandin B and amphotericin B serum columns were not reported/curated.
ACT-1995-JACKSON-006,PAPU-0066,MIC,3.12,=,ug/mL,,,,Candida albicans,579a,,,broth microdilution,Yeast Nitrogen Base with 1% glucose,35,24,5e4 cfu/mL,none,,,,lowest concentration completely inhibiting visible growth,high,PAPER-1995-JACKSON,Table 1,Table 1 reports Fusacandin A MIC 3.12 ug/mL against Candida albicans 579a.,curated,Amphotericin B comparator column was not curated under the Papulacandin-only v0.1 boundary.
ACT-1995-JACKSON-007,PAPU-0067,MIC,50,=,ug/mL,,,,Candida albicans,579a,,,broth microdilution,Yeast Nitrogen Base with 1% glucose,35,24,5e4 cfu/mL,none,,,,lowest concentration completely inhibiting visible growth,high,PAPER-1995-JACKSON,Table 1,Table 1 reports Fusacandin B MIC 50 ug/mL against Candida albicans 579a.,curated,Amphotericin B comparator column was not curated under the Papulacandin-only v0.1 boundary.
ACT-1995-JACKSON-008,PAPU-0002,MIC,3.12,=,ug/mL,3.467,5.46,,Candida albicans,579a,,,broth microdilution,Yeast Nitrogen Base with 1% glucose,35,24,5e4 cfu/mL,none,,,,lowest concentration completely inhibiting visible growth,high,PAPER-1995-JACKSON,Table 1,Table 1 reports Papulacandin B MIC 3.12 ug/mL against Candida albicans 579a.,curated,Amphotericin B comparator column was not curated under the Papulacandin-only v0.1 boundary.
ACT-1995-JACKSON-009,PAPU-0066,MIC,100,>,ug/mL,,,,Candida albicans,579a,,,broth microdilution,Yeast Nitrogen Base with 1% glucose,35,24,5e4 cfu/mL,50% mouse serum,,,,lowest concentration completely inhibiting visible growth in 50% mouse serum,high,PAPER-1995-JACKSON,Table 1,Table 1 reports Fusacandin A MIC >100 ug/mL against Candida albicans 579a with 50% mouse serum.,curated,Serum-shift row; Fusacandin B and amphotericin B serum columns were not reported/curated.
ACT-1995-JACKSON-010,PAPU-0002,MIC,100,>,ug/mL,111.111,,,Candida albicans,579a,,,broth microdilution,Yeast Nitrogen Base with 1% glucose,35,24,5e4 cfu/mL,50% mouse serum,,,,lowest concentration completely inhibiting visible growth in 50% mouse serum,high,PAPER-1995-JACKSON,Table 1,Table 1 reports Papulacandin B MIC >100 ug/mL against Candida albicans 579a with 50% mouse serum.,curated,Serum-shift row; Fusacandin B and amphotericin B serum columns were not reported/curated.
ACT-1995-JACKSON-011,PAPU-0066,MIC,3.12,=,ug/mL,,,,Candida albicans,CCH 442,,,broth microdilution,Yeast Nitrogen Base with 1% glucose,35,24,5e4 cfu/mL,none,,,,lowest concentration completely inhibiting visible growth,high,PAPER-1995-JACKSON,Table 1,Table 1 reports Fusacandin A MIC 3.12 ug/mL against Candida albicans CCH 442.,curated,Amphotericin B comparator column was not curated under the Papulacandin-only v0.1 boundary.
ACT-1995-JACKSON-012,PAPU-0067,MIC,50,=,ug/mL,,,,Candida albicans,CCH 442,,,broth microdilution,Yeast Nitrogen Base with 1% glucose,35,24,5e4 cfu/mL,none,,,,lowest concentration completely inhibiting visible growth,high,PAPER-1995-JACKSON,Table 1,Table 1 reports Fusacandin B MIC 50 ug/mL against Candida albicans CCH 442.,curated,Amphotericin B comparator column was not curated under the Papulacandin-only v0.1 boundary.
ACT-1995-JACKSON-013,PAPU-0002,MIC,1.56,=,ug/mL,1.733,5.761,,Candida albicans,CCH 442,,,broth microdilution,Yeast Nitrogen Base with 1% glucose,35,24,5e4 cfu/mL,none,,,,lowest concentration completely inhibiting visible growth,high,PAPER-1995-JACKSON,Table 1,Table 1 reports Papulacandin B MIC 1.56 ug/mL against Candida albicans CCH 442.,curated,Amphotericin B comparator column was not curated under the Papulacandin-only v0.1 boundary.
ACT-1995-JACKSON-014,PAPU-0066,MIC,100,>,ug/mL,,,,Candida albicans,CCH 442,,,broth microdilution,Yeast Nitrogen Base with 1% glucose,35,24,5e4 cfu/mL,50% mouse serum,,,,lowest concentration completely inhibiting visible growth in 50% mouse serum,high,PAPER-1995-JACKSON,Table 1,Table 1 reports Fusacandin A MIC >100 ug/mL against Candida albicans CCH 442 with 50% mouse serum.,curated,Serum-shift row; Fusacandin B and amphotericin B serum columns were not reported/curated.
ACT-1995-JACKSON-015,PAPU-0002,MIC,100,>,ug/mL,111.111,,,Candida albicans,CCH 442,,,broth microdilution,Yeast Nitrogen Base with 1% glucose,35,24,5e4 cfu/mL,50% mouse serum,,,,lowest concentration completely inhibiting visible growth in 50% mouse serum,high,PAPER-1995-JACKSON,Table 1,Table 1 reports Papulacandin B MIC >100 ug/mL against Candida albicans CCH 442 with 50% mouse serum.,curated,Serum-shift row; Fusacandin B and amphotericin B serum columns were not reported/curated.
ACT-1995-JACKSON-016,PAPU-0066,MIC,100,>,ug/mL,,,,Candida albicans,ATCC 38247,,,broth microdilution,Yeast Nitrogen Base with 1% glucose,35,24,5e4 cfu/mL,none,,,,lowest concentration completely inhibiting visible growth,high,PAPER-1995-JACKSON,Table 1,Table 1 reports Fusacandin A MIC >100 ug/mL against Candida albicans ATCC 38247.,curated,Amphotericin B comparator column was not curated under the Papulacandin-only v0.1 boundary.
ACT-1995-JACKSON-017,PAPU-0067,MIC,100,>,ug/mL,,,,Candida albicans,ATCC 38247,,,broth microdilution,Yeast Nitrogen Base with 1% glucose,35,24,5e4 cfu/mL,none,,,,lowest concentration completely inhibiting visible growth,high,PAPER-1995-JACKSON,Table 1,Table 1 reports Fusacandin B MIC >100 ug/mL against Candida albicans ATCC 38247.,curated,Amphotericin B comparator column was not curated under the Papulacandin-only v0.1 boundary.
ACT-1995-JACKSON-018,PAPU-0002,MIC,1.56,=,ug/mL,1.733,5.761,,Candida albicans,ATCC 38247,,,broth microdilution,Yeast Nitrogen Base with 1% glucose,35,24,5e4 cfu/mL,none,,,,lowest concentration completely inhibiting visible growth,high,PAPER-1995-JACKSON,Table 1,Table 1 reports Papulacandin B MIC 1.56 ug/mL against Candida albicans ATCC 38247.,curated,Amphotericin B comparator column was not curated under the Papulacandin-only v0.1 boundary.
ACT-1995-JACKSON-019,PAPU-0066,MIC,100,>,ug/mL,,,,Candida albicans,ATCC 38247,,,broth microdilution,Yeast Nitrogen Base with 1% glucose,35,24,5e4 cfu/mL,50% mouse serum,,,,lowest concentration completely inhibiting visible growth in 50% mouse serum,high,PAPER-1995-JACKSON,Table 1,Table 1 reports Fusacandin A MIC >100 ug/mL against Candida albicans ATCC 38247 with 50% mouse serum.,curated,Serum-shift row; Fusacandin B and amphotericin B serum columns were not reported/curated.
ACT-1995-JACKSON-020,PAPU-0002,MIC,100,>,ug/mL,111.111,,,Candida albicans,ATCC 38247,,,broth microdilution,Yeast Nitrogen Base with 1% glucose,35,24,5e4 cfu/mL,50% mouse serum,,,,lowest concentration completely inhibiting visible growth in 50% mouse serum,high,PAPER-1995-JACKSON,Table 1,Table 1 reports Papulacandin B MIC >100 ug/mL against Candida albicans ATCC 38247 with 50% mouse serum.,curated,Serum-shift row; Fusacandin B and amphotericin B serum columns were not reported/curated.
ACT-1995-JACKSON-021,PAPU-0066,MIC,6.25,=,ug/mL,,,,Candida albicans,ATCC 62376,,,broth microdilution,Yeast Nitrogen Base with 1% glucose,35,24,5e4 cfu/mL,none,,,,lowest concentration completely inhibiting visible growth,high,PAPER-1995-JACKSON,Table 1,Table 1 reports Fusacandin A MIC 6.25 ug/mL against Candida albicans ATCC 62376.,curated,Amphotericin B comparator column was not curated under the Papulacandin-only v0.1 boundary.
ACT-1995-JACKSON-022,PAPU-0067,MIC,100,>,ug/mL,,,,Candida albicans,ATCC 62376,,,broth microdilution,Yeast Nitrogen Base with 1% glucose,35,24,5e4 cfu/mL,none,,,,lowest concentration completely inhibiting visible growth,high,PAPER-1995-JACKSON,Table 1,Table 1 reports Fusacandin B MIC >100 ug/mL against Candida albicans ATCC 62376.,curated,Amphotericin B comparator column was not curated under the Papulacandin-only v0.1 boundary.
ACT-1995-JACKSON-023,PAPU-0002,MIC,1.56,=,ug/mL,1.733,5.761,,Candida albicans,ATCC 62376,,,broth microdilution,Yeast Nitrogen Base with 1% glucose,35,24,5e4 cfu/mL,none,,,,lowest concentration completely inhibiting visible growth,high,PAPER-1995-JACKSON,Table 1,Table 1 reports Papulacandin B MIC 1.56 ug/mL against Candida albicans ATCC 62376.,curated,Amphotericin B comparator column was not curated under the Papulacandin-only v0.1 boundary.
ACT-1995-JACKSON-024,PAPU-0066,MIC,100,>,ug/mL,,,,Candida albicans,ATCC 62376,,,broth microdilution,Yeast Nitrogen Base with 1% glucose,35,24,5e4 cfu/mL,50% mouse serum,,,,lowest concentration completely inhibiting visible growth in 50% mouse serum,high,PAPER-1995-JACKSON,Table 1,Table 1 reports Fusacandin A MIC >100 ug/mL against Candida albicans ATCC 62376 with 50% mouse serum.,curated,Serum-shift row; Fusacandin B and amphotericin B serum columns were not reported/curated.
ACT-1995-JACKSON-025,PAPU-0002,MIC,100,>,ug/mL,111.111,,,Candida albicans,ATCC 62376,,,broth microdilution,Yeast Nitrogen Base with 1% glucose,35,24,5e4 cfu/mL,50% mouse serum,,,,lowest concentration completely inhibiting visible growth in 50% mouse serum,high,PAPER-1995-JACKSON,Table 1,Table 1 reports Papulacandin B MIC >100 ug/mL against Candida albicans ATCC 62376 with 50% mouse serum.,curated,Serum-shift row; Fusacandin B and amphotericin B serum columns were not reported/curated.
