dataset_version,pretraining_compound_id,source_compound_id,compound_name,pretraining_source_class,pretraining_binary_label,label_confidence,sample_weight,background_subtype,compound_family,mw_band,canonical_smiles_rdkit,inchikey,molecular_formula,murcko_scaffold_smiles,ecfp4_on_bits,exact_mw_rdkit,mol_wt_rdkit,clogp_rdkit,mol_mr_rdkit,tpsa_rdkit,hbd_rdkit,hba_rdkit,rotb_rdkit,heavy_atom_count_rdkit,hetero_atom_count_rdkit,ring_count_rdkit,aromatic_ring_count_rdkit,aliphatic_ring_count_rdkit,fsp3_rdkit,formal_charge_rdkit,stereo_centers_total_rdkit,stereo_centers_assigned_rdkit,stereo_centers_unassigned_rdkit
fks_pretraining_dataset_v0_1,BG-EXCL-EXT-FKS-0418,EXT-FKS-0418,CHEMBL95047,background_reviewed_strict_exclusion,0,background_medium,0.65,reviewed_no_direct_fks_evidence_background,mixed_fks,900-1300,C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)CC2O[C@](O)(CC(O)C(O)CCC(O)CC(O)CC(O)CC(=O)O[C@H]1C)CC(O)C2CO,VMZUSUSAWOEPHJ-AVMQYHNESA-N,C47H75NO16,O=C1CCCCCCCCCCCC2CCCC(C[C@@H](O[C@H]3CCCCO3)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/CCCCO1)O2,74,909.5085853200001,910.1080000000002,0.6194000000000053,236.44119999999933,302.53999999999996,12,17,3,64,17,3,0,3,0.6808510638297872,0,19,11,8
fks_pretraining_dataset_v0_1,BG-EXCL-EXT-FKS-0419,EXT-FKS-0419,SILVER NITRATE,background_reviewed_strict_exclusion,0,background_medium,0.65,reviewed_no_direct_fks_evidence_background,mixed_fks,150-400,O=[N+]([O-])[O-].[Ag+],SQGYOTSLMSWVJD-UHFFFAOYSA-N,AgNO3,,7,168.89291486000002,169.872,-0.24160000000000006,10.3614,66.2,0,3,0,5,5,0,0,0,0.0,0,0,0,0
fks_pretraining_dataset_v0_1,BG-EXCL-EXT-FKS-0420,EXT-FKS-0420,CHEMBL131629,background_reviewed_strict_exclusion,0,background_medium,0.65,reviewed_no_direct_fks_evidence_background,mixed_fks,400-600,O=[N+]([O-])c1ccc(C(c2c[nH]cc2-c2ccc(Cl)cc2Cl)n2ccnc2)cc1,KPLVYZXXTSLABZ-UHFFFAOYSA-N,C20H14Cl2N4O2,c1ccc(-c2c[nH]cc2C(c2ccccc2)n2ccnc2)cc1,52,412.04938104800004,413.2640000000001,5.730900000000003,108.81309999999999,76.75,1,3,5,28,8,4,4,0,0.05,0,1,0,1
fks_pretraining_dataset_v0_1,BG-EXCL-EXT-FKS-0421,EXT-FKS-0421,CHEMBL132204,background_reviewed_strict_exclusion,0,background_medium,0.65,reviewed_no_direct_fks_evidence_background,mixed_fks,150-400,Fc1ccc(C(c2c[nH]cc2-c2ccccc2Cl)n2ccnc2)cc1,WFTCMOKXIZPGMX-UHFFFAOYSA-N,C20H15ClFN3,c1ccc(-c2c[nH]cc2C(c2ccccc2)n2ccnc2)cc1,45,351.09385338000004,351.812,5.308400000000003,97.1067,33.61,1,1,4,25,5,4,4,0,0.05,0,1,0,1
fks_pretraining_dataset_v0_1,BG-EXCL-EXT-FKS-0422,EXT-FKS-0422,CHEMBL132412,background_reviewed_strict_exclusion,0,background_medium,0.65,reviewed_no_direct_fks_evidence_background,mixed_fks,150-400,Cc1ccc(C(c2c[nH]cc2-c2ccccc2Cl)n2ccnc2)cc1,NXUQYLPIGHJEMX-UHFFFAOYSA-N,C21H18ClN3,c1ccc(-c2c[nH]cc2C(c2ccccc2)n2ccnc2)cc1,44,347.118925256,347.84900000000005,5.477720000000004,101.88570000000001,33.61,1,1,4,25,4,4,4,0,0.09523809523809523,0,1,0,1
fks_pretraining_dataset_v0_1,BG-EXCL-EXT-FKS-0423,EXT-FKS-0423,CHEMBL132520,background_reviewed_strict_exclusion,0,background_medium,0.65,reviewed_no_direct_fks_evidence_background,mixed_fks,150-400,Clc1ccccc1-c1c[nH]cc1C(c1ccc(-n2cccc2)cc1)n1ccnc1,HEBSFWVNTHQDPP-UHFFFAOYSA-N,C24H19ClN4,c1ccc(-c2c[nH]cc2C(c2ccc(-n3cccc3)cc2)n2ccnc2)cc1,47,398.12982428800007,398.89700000000005,5.960000000000005,116.47569999999999,38.54,1,1,5,29,5,5,5,0,0.041666666666666664,0,1,0,1
fks_pretraining_dataset_v0_1,BG-EXCL-EXT-FKS-0424,EXT-FKS-0424,CHEMBL132551,background_reviewed_strict_exclusion,0,background_medium,0.65,reviewed_no_direct_fks_evidence_background,mixed_fks,150-400,Clc1ccc(C2(Cn3ccnc3)OCc3ccc(Cl)cc32)c(Cl)c1,XMPVOOLINOFDMN-UHFFFAOYSA-N,C18H13Cl3N2O,c1ccc(C2(Cn3ccnc3)OCc3ccccc32)cc1,43,378.009346076,379.6740000000001,5.317300000000002,95.71000000000004,27.05,0,2,3,24,6,4,3,1,0.16666666666666666,0,1,0,1
fks_pretraining_dataset_v0_1,BG-EXCL-EXT-FKS-0425,EXT-FKS-0425,CHEMBL133488,background_reviewed_strict_exclusion,0,background_medium,0.65,reviewed_no_direct_fks_evidence_background,mixed_fks,150-400,Clc1ccc(-c2c[nH]cc2C(c2ccc(-n3cccc3)cc2)n2ccnc2)cc1,CMMKCUQOYJBNPV-UHFFFAOYSA-N,C24H19ClN4,c1ccc(-c2c[nH]cc2C(c2ccc(-n3cccc3)cc2)n2ccnc2)cc1,47,398.12982428800007,398.89700000000005,5.960000000000005,116.47569999999999,38.54,1,1,5,29,5,5,5,0,0.041666666666666664,0,1,0,1
fks_pretraining_dataset_v0_1,BG-EXCL-EXT-FKS-0426,EXT-FKS-0426,CHEMBL134302,background_reviewed_strict_exclusion,0,background_medium,0.65,reviewed_no_direct_fks_evidence_background,mixed_fks,150-400,c1ccc(-c2c[nH]cc2C(c2ccccc2)n2ccnc2)cc1,OXAYMRKIQACOMU-UHFFFAOYSA-N,C20H17N3,c1ccc(-c2c[nH]cc2C(c2ccccc2)n2ccnc2)cc1,37,299.14224754400004,299.377,4.515900000000003,92.13870000000003,33.61,1,1,4,23,3,4,4,0,0.05,0,1,0,1
fks_pretraining_dataset_v0_1,BG-EXCL-EXT-FKS-0427,EXT-FKS-0427,CHEMBL134347,background_reviewed_strict_exclusion,0,background_medium,0.65,reviewed_no_direct_fks_evidence_background,mixed_fks,150-400,Clc1ccc(C2(Cn3cncn3)OCc3ccccc32)cc1,AFFYNHDAUHLCSP-UHFFFAOYSA-N,C17H14ClN3O,c1ccc(C2(Cn3cncn3)OCc3ccccc32)cc1,43,311.082539748,311.77200000000005,3.4055000000000017,83.48500000000003,39.94,0,3,3,22,5,4,3,1,0.17647058823529413,0,1,0,1
