polar_bin,tail_name,exposed_polar_fraction,exposed_hydrophobic_sasa,tail_n_carbon,tail_clogp,novelty,mw,inchikey,smiles
low,phosphocholine_like,0.2736,943.3,14,2.0,0.418,1128.1,HGQOEUPTBGRTOC-BRGPHWETSA-N,C[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCC(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(-c3ccccc3)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
low,C12_branched,0.2748,881.3,12,3.84,0.345,989.1,XAYDMWOKRSNCDL-DPTMQIJSSA-N,CCCC(CC)CCCCCC(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(-c3ccccc3)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
mid,C12_omega_CF3,0.2857,840.4,10,3.75,0.375,1015.0,IGDRLYHKRNSSMM-DGLZQNHNSA-N,O=C(CCCCCCCCC(F)(F)F)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(-c3ccccc3)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
mid,C12_omega_NH2,0.2861,854.6,12,2.92,0.358,1004.1,MPSHLSJBSJPZFR-KYAWKZMSSA-N,NCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(-c3ccccc3)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
high,oxa_PEG3,0.315,785.9,8,0.13,0.369,981.0,FDDBMEQJBKGIOZ-MBRJBCKXSA-N,CCOCCOCCOCC(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(-c3ccccc3)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
high,C8_omega_sulfonate,0.3299,775.7,8,1.29,0.375,1013.0,UPRHNZRELQVGEY-MBRJBCKXSA-N,O=C(CCCCCCCS(=O)(=O)O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(-c3ccccc3)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
