compound,n_conformers,energy_window_kcal,hydrophobic_sasa_mean,hydrophobic_sasa_std,polar_sasa_mean,total_sasa_mean,hydrophobic_fraction_mean,rg_mean,rg_std,asphericity_mean
cand01_quinolinecarbonyl,150,5.96,653.3,19.4,404.8,1058.1,0.617,5.57,0.1,15.12
cand02_naphthoyl_6OH,505,5.99,614.8,12.0,446.4,1061.3,0.579,5.56,0.1,11.91
cand03_pyridylphenyl,141,6.0,662.9,6.3,381.2,1044.1,0.635,5.57,0.02,15.77
cand04_biphenyl_4NH2,183,5.98,668.2,9.9,439.5,1107.7,0.603,5.94,0.1,19.71
cand05_biphenyl_4morpholine,211,5.99,826.6,22.5,325.6,1152.2,0.717,5.63,0.02,9.47
cand06_biphenyl_4SO2NH2,92,6.0,626.7,20.0,470.0,1096.7,0.571,6.06,0.04,21.6
cand07_biphenyl_4CONH2,151,5.97,587.3,7.1,490.9,1078.2,0.545,5.62,0.04,12.35
cand08_biphenyl_4COOH,371,5.98,639.8,13.1,461.7,1101.5,0.581,6.06,0.04,22.89
cand09_biphenyl_4CH2NMe2,84,5.98,831.0,13.1,277.6,1108.6,0.75,5.42,0.06,8.13
cand10_PAPU-0136,36,5.82,780.8,10.2,364.8,1145.6,0.682,5.35,0.03,8.03
cand11_PAPU-0138,373,5.98,799.7,20.0,416.3,1216.0,0.658,6.3,0.11,20.52
cand12_PAPU-0125,256,5.96,738.9,21.4,432.7,1171.6,0.631,5.83,0.13,16.05
