compound,n_conformers,energy_window_kcal,hydrophobic_sasa_mean,hydrophobic_sasa_std,polar_sasa_mean,total_sasa_mean,hydrophobic_fraction_mean,rg_mean,rg_std,asphericity_mean
cand01_quinolinecarbonyl,112,9.29,687.8,24.7,435.8,1123.7,0.612,5.73,0.14,13.36
cand02_naphthoyl_6OH,309,9.94,610.0,19.3,480.5,1090.5,0.559,5.68,0.16,11.44
cand03_pyridylphenyl,110,9.67,677.2,14.8,405.3,1082.5,0.626,5.66,0.08,15.72
